caso,letra,pixel,input,output
exp2_n20,D,18,-1,-1
exp2_n20,D,19,1,1
exp2_n20,D,20,1,1
exp2_n20,D,21,1,1
exp2_n20,D,22,1,1
exp2_n20,D,23,1,1
exp2_n20,D,24,-1,-1
exp2_n65,D,0,-1,-1
exp2_n65,D,1,-1,-1
exp2_n65,D,2,-1,-1
exp2_n65,D,3,-1,-1
exp2_n65,D,4,1,1
exp2_n65,D,5,-1,-1
exp2_n65,D,6,1,1
exp2_n65,D,7,-1,1
exp2_n65,D,8,-1,1
exp2_n65,D,9,1,-1
exp2_n65,D,10,1,-1
exp2_n65,D,11,1,1
exp2_n65,D,12,-1,1
exp2_n65,D,13,-1,1
exp2_n65,D,14,-1,-1
exp2_n65,D,15,-1,-1
exp2_n65,D,16,1,1
exp2_n65,D,17,1,1
exp2_n65,D,18,1,1
exp2_n65,D,19,-1,-1
exp2_n65,D,20,1,1
exp2_n65,D,21,-1,-1
exp2_n65,D,22,1,-1
exp2_n65,D,23,-1,-1
exp2_n65,D,24,1,1
exp2_n10,O,0,-1,-1
exp2_n10,O,1,1,1
exp2_n10,O,2,1,1
exp2_n10,O,3,1,1
exp2_n10,O,4,-1,-1
exp2_n10,O,5,1,1
exp2_n10,O,6,-1,-1
exp2_n10,O,7,-1,-1
exp2_n10,O,8,-1,-1
exp2_n10,O,9,1,1
exp2_n10,O,10,1,1
exp2_n10,O,11,-1,-1
exp2_n10,O,12,-1,-1
exp2_n10,O,13,-1,-1
exp2_n10,O,14,1,1
exp2_n10,O,15,1,1
exp2_n10,O,16,-1,-1
exp2_n10,O,17,-1,-1
exp2_n10,O,18,-1,-1
exp2_n10,O,19,1,1
exp2_n10,O,20,-1,-1
exp2_n10,O,21,1,1
exp2_n10,O,22,1,1
exp2_n10,O,23,1,1
exp2_n10,O,24,-1,-1
exp2_n20,O,0,-1,-1
exp2_n20,O,1,-1,1
exp2_n20,O,2,1,1
exp2_n20,O,3,1,1
exp2_n20,O,4,-1,-1
exp2_n20,O,5,1,1
exp2_n20,O,6,-1,-1
exp2_n20,O,7,-1,-1
exp2_n20,O,8,-1,-1
exp2_n20,O,9,-1,1
exp2_n20,O,10,1,1
exp2_n20,O,11,-1,-1
exp2_n20,O,12,-1,-1
exp2_n20,O,13,-1,-1
exp2_n20,O,14,1,1
exp2_n20,O,15,1,1
exp2_n20,O,16,-1,-1
exp2_n20,O,17,-1,-1
exp2_n20,O,18,-1,-1
exp2_n20,O,19,-1,1
exp2_n20,O,20,-1,-1
exp2_n20,O,21,1,1
exp2_n20,O,22,1,1
exp2_n20,O,23,-1,1
exp2_n20,O,24,-1,-1
exp2_n65,O,0,1,1
exp2_n65,O,1,-1,-1
exp2_n65,O,2,1,-1
exp2_n65,O,3,-1,-1
exp2_n65,O,4,-1,1
exp2_n65,O,5,1,-1
exp2_n65,O,6,1,1
exp2_n65,O,7,1,1
exp2_n65,O,8,-1,1
exp2_n65,O,9,-1,-1
exp2_n65,O,10,-1,-1
exp2_n65,O,11,-1,1
exp2_n65,O,12,1,1
exp2_n65,O,13,-1,1
exp2_n65,O,14,-1,-1
exp2_n65,O,15,-1,-1
exp2_n65,O,16,1,1
exp2_n65,O,17,1,1
exp2_n65,O,18,-1,1
exp2_n65,O,19,-1,-1
exp2_n65,O,20,1,1
exp2_n65,O,21,1,-1
exp2_n65,O,22,-1,-1
exp2_n65,O,23,-1,-1
exp2_n65,O,24,1,1
exp2_n10,X,0,1,1
exp2_n10,X,1,-1,-1
exp2_n10,X,2,-1,-1
exp2_n10,X,3,1,-1
exp2_n10,X,4,1,1
exp2_n10,X,5,-1,-1
exp2_n10,X,6,1,1
exp2_n10,X,7,-1,1
exp2_n10,X,8,1,1
exp2_n10,X,9,-1,-1
exp2_n10,X,10,-1,-1
exp2_n10,X,11,-1,1
exp2_n10,X,12,1,1
exp2_n10,X,13,-1,1
exp2_n10,X,14,1,-1
exp2_n10,X,15,-1,-1
exp2_n10,X,16,1,1
exp2_n10,X,17,1,1
exp2_n10,X,18,1,1
exp2_n10,X,19,-1,-1
exp2_n10,X,20,1,1
exp2_n10,X,21,-1,-1
exp2_n10,X,22,1,-1
exp2_n10,X,23,-1,-1
exp2_n10,X,24,1,1
exp2_n20,X,0,1,1
exp2_n20,X,1,1,-1
exp2_n20,X,2,-1,-1
exp2_n20,X,3,-1,-1
exp2_n20,X,4,-1,1
exp2_n20,X,5,-1,-1
exp2_n20,X,6,-1,1
exp2_n20,X,7,1,1
exp2_n20,X,8,1,1
exp2_n20,X,9,-1,-1
exp2_n20,X,10,-1,-1
exp2_n20,X,11,-1,1
exp2_n20,X,12,1,1
exp2_n20,X,13,1,1
exp2_n20,X,14,-1,-1
exp2_n20,X,15,1,-1
exp2_n20,X,16,-1,1
exp2_n20,X,17,-1,1
exp2_n20,X,18,1,1
exp2_n20,X,19,-1,-1
exp2_n20,X,20,-1,1
exp2_n20,X,21,-1,-1
exp2_n20,X,22,-1,-1
exp2_n20,X,23,-1,-1
exp2_n20,X,24,1,1
exp2_n65,X,0,-1,-1
exp2_n65,X,1,-1,1
exp2_n65,X,2,1,1
exp2_n65,X,3,1,1
exp2_n65,X,4,-1,-1
exp2_n65,X,5,1,1
exp2_n65,X,6,-1,-1
exp2_n65,X,7,1,-1
exp2_n65,X,8,-1,-1
exp2_n65,X,9,1,1
exp2_n65,X,10,-1,1
exp2_n65,X,11,-1,-1
exp2_n65,X,12,1,-1
exp2_n65,X,13,-1,-1
exp2_n65,X,14,-1,1
exp2_n65,X,15,1,1
exp2_n65,X,16,-1,-1
exp2_n65,X,17,1,-1
exp2_n65,X,18,1,-1
exp2_n65,X,19,1,1
exp2_n65,X,20,1,1
exp2_n65,X,21,1,1
exp2_n65,X,22,-1,1
exp2_n65,X,23,1,1
exp2_n65,X,24,-1,-1
exp3,E,0,1,1
exp3,E,1,1,1
exp3,E,2,1,1
exp3,E,3,1,1
exp3,E,4,1,-1
exp3,E,5,1,1
exp3,E,6,-1,-1
exp3,E,7,-1,-1
exp3,E,8,-1,-1
exp3,E,9,-1,1
exp3,E,10,1,1
exp3,E,11,1,-1
exp3,E,12,1,-1
exp3,E,13,1,-1
exp3,E,14,-1,1
exp3,E,15,1,1
exp3,E,16,-1,-1
exp3,E,17,-1,-1
exp3,E,18,-1,-1
exp3,E,19,-1,1
exp3,E,20,1,1
exp3,E,21,1,1
exp3,E,22,1,1
exp3,E,23,1,1
exp3,E,24,1,-1
exp3,G,0,-1,-1
exp3,G,1,1,1
exp3,G,2,1,1
exp3,G,3,1,1
exp3,G,4,1,-1
exp3,G,5,1,1
exp3,G,6,-1,-1
exp3,G,7,-1,-1
exp3,G,8,-1,-1
exp3,G,9,-1,1
exp3,G,10,1,1
exp3,G,11,-1,-1
exp3,G,12,-1,-1
exp3,G,13,1,-1
exp3,G,14,1,1
exp3,G,15,1,1
exp3,G,16,-1,-1
exp3,G,17,-1,-1
exp3,G,18,-1,-1
exp3,G,19,1,1
exp3,G,20,-1,-1
exp3,G,21,1,1
exp3,G,22,1,1
exp3,G,23,1,1
exp3,G,24,1,-1
exp3,I,0,1,1
exp3,I,1,1,1
exp3,I,2,1,1
exp3,I,3,1,1
exp3,I,4,1,-1
exp3,I,5,-1,1
exp3,I,6,-1,-1
exp3,I,7,1,-1
exp3,I,8,-1,-1
exp3,I,9,-1,1
exp3,I,10,-1,1
exp3,I,11,-1,-1
exp3,I,12,1,-1
exp3,I,13,-1,-1
exp3,I,14,-1,1
exp3,I,15,-1,1
exp3,I,16,-1,-1
exp3,I,17,1,-1
exp3,I,18,-1,-1
exp3,I,19,-1,1
exp3,I,20,1,1
exp3,I,21,1,1
exp3,I,22,1,1
exp3,I,23,1,1
exp3,I,24,1,-1
exp3,J,0,1,1
exp3,J,1,1,1
exp3,J,2,1,1
exp3,J,3,1,1
exp3,J,4,1,-1
exp3,J,5,-1,1
exp3,J,6,-1,-1
exp3,J,7,-1,-1
exp3,J,8,1,-1
exp3,J,9,-1,1
exp3,J,10,-1,1
exp3,J,11,-1,-1
exp3,J,12,-1,-1
exp3,J,13,1,-1
exp3,J,14,-1,1
exp3,J,15,1,1
exp3,J,16,-1,-1
exp3,J,17,-1,-1
exp3,J,18,1,-1
exp3,J,19,-1,1
exp3,J,20,-1,1
exp3,J,21,1,1
exp3,J,22,1,1
exp3,J,23,-1,1
exp3,J,24,-1,-1
exp3,T,0,1,-1
exp3,T,1,1,-1
exp3,T,2,1,-1
exp3,T,3,1,-1
exp3,T,4,1,1
exp3,T,5,-1,-1
exp3,T,6,-1,1
exp3,T,7,1,1
exp3,T,8,-1,1
exp3,T,9,-1,-1
exp3,T,10,-1,-1
exp3,T,11,-1,1
exp3,T,12,1,1
exp3,T,13,-1,1
exp3,T,14,-1,-1
exp3,T,15,-1,-1
exp3,T,16,-1,1
exp3,T,17,1,1
exp3,T,18,-1,1
exp3,T,19,-1,-1
exp3,T,20,-1,1
exp3,T,21,-1,-1
exp3,T,22,1,-1
exp3,T,23,-1,-1
exp3,T,24,-1,1
