epoch,eta,w_norm,delta_w_norm
0,0.5,,
1,0.25,,
2,0.16666666666666666,,
3,0.125,,
4,0.1,,
5,0.08333333333333333,,
6,0.07142857142857142,,
7,0.0625,,
8,0.05555555555555555,,
9,0.05,,
10,0.045454545454545456,,
11,0.041666666666666664,,
12,0.038461538461538464,,
13,0.03571428571428571,,
14,0.03333333333333333,,
15,0.03125,,
16,0.029411764705882353,,
17,0.027777777777777776,,
18,0.02631578947368421,,
19,0.025,,
20,0.023809523809523808,,
21,0.022727272727272728,,
22,0.021739130434782608,,
23,0.020833333333333332,,
24,0.02,,
25,0.019230769230769232,,
26,0.018518518518518517,,
27,0.017857142857142856,,
28,0.017241379310344827,,
29,0.016666666666666666,,
30,0.016129032258064516,,
31,0.015625,,
32,0.015151515151515152,,
33,0.014705882352941176,,
34,0.014285714285714285,,
35,0.013888888888888888,,
36,0.013513513513513514,,
37,0.013157894736842105,,
38,0.01282051282051282,,
39,0.0125,,
40,0.012195121951219513,,
41,0.011904761904761904,,
42,0.011627906976744186,,
43,0.011363636363636364,,
44,0.011111111111111112,,
45,0.010869565217391304,,
46,0.010638297872340425,,
47,0.010416666666666666,,
48,0.01020408163265306,,
49,0.01,,
50,0.00980392156862745,,
51,0.009615384615384616,,
52,0.009433962264150943,,
53,0.009259259259259259,,
54,0.00909090909090909,,
55,0.008928571428571428,,
56,0.008771929824561403,,
57,0.008620689655172414,,
58,0.00847457627118644,,
59,0.008333333333333333,,
60,0.00819672131147541,,
61,0.008064516129032258,,
62,0.007936507936507936,,
63,0.0078125,,
64,0.007692307692307693,,
65,0.007575757575757576,,
66,0.007462686567164179,,
67,0.007352941176470588,,
68,0.007246376811594203,,
69,0.007142857142857143,,
70,0.007042253521126761,,
71,0.006944444444444444,,
72,0.00684931506849315,,
73,0.006756756756756757,,
74,0.006666666666666667,,
75,0.006578947368421052,,
76,0.006493506493506494,,
77,0.00641025641025641,,
78,0.006329113924050633,,
79,0.00625,,
80,0.006172839506172839,,
81,0.006097560975609756,,
82,0.006024096385542169,,
83,0.005952380952380952,,
84,0.0058823529411764705,,
85,0.005813953488372093,,
86,0.005747126436781609,,
87,0.005681818181818182,,
88,0.0056179775280898875,,
89,0.005555555555555556,,
90,0.005494505494505495,,
91,0.005434782608695652,,
