country,i,j,dist
Austria,1,0,1.846976042289764
Belgium,1,0,1.2403333413382722
Bulgaria,0,1,2.758529651403849
Croatia,0,1,2.4143533633556484
Czech Republic,1,1,1.5105318138007107
Denmark,1,0,1.281201509804956
Estonia,0,1,2.5340354736539417
Finland,1,0,1.277046166235727
Germany,1,0,1.7953821906580574
Greece,0,1,3.7979790999341945
Hungary,0,1,1.3427217031084888
Iceland,1,0,2.6096846717261664
Ireland,1,0,2.6750865360817397
Italy,1,0,1.5439095621974905
Latvia,0,1,2.5671289534060224
Lithuania,0,1,2.0835617504679766
Luxembourg,1,0,4.265639411018884
Netherlands,1,0,1.9906813999222188
Norway,1,0,2.7674582614018806
Poland,0,1,1.4629151145396109
Portugal,0,1,1.2598579466352682
Slovakia,0,1,1.4513056137763127
Slovenia,0,1,1.6486310948344527
Spain,1,0,3.66343780155632
Sweden,1,0,2.0792189010219846
Switzerland,1,0,3.540588346855697
Ukraine,0,1,5.562434770386048
United Kingdom,1,0,2.026386021460387
