i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.02222210040058404,-0.023102347469962776,0.04719454349836337,-0.031810863639580814,0.039093426730655606,-0.016661687015685874,-0.01011526155562918
0,1,0.007847644005653595,-0.1335049561326183,0.10279045082406839,-0.1535227575062806,0.07448739265336954,-0.12091774926387246,0.05147337210845915
1,0,0.044080740784727665,0.06257654032334518,-0.023913005787848548,0.0570190316856205,-0.010580310604295538,0.05218452312092469,-0.08044292615386013
1,1,0.012694721584636423,-0.028782791646506954,0.03442915262529022,-0.04503028226601213,0.0209570193770388,-0.031273510693838276,-0.012613111206846236
