group,letter,noise,sample_idx
JLRX,R,0.6,0
JLRX,R,0.65,0
JLRX,X,0.05,0
JLRX,X,0.1,0
JLRX,X,0.15,0
JLRX,X,0.2,0
JLRX,X,0.25,0
JLRX,X,0.3,0
JLRX,X,0.35,0
JLRX,X,0.4,0
JLRX,X,0.45,0
JLRX,X,0.5,0
JLRX,X,0.55,0
JLRX,X,0.6,0
JLRX,X,0.65,0
