group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
GMPVZ,G,0.3,22,3,1,2,2,30,0.7333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.06666666666666667
GMPVZ,G,0.35,19,4,0,4,3,30,0.6333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.1
GMPVZ,G,0.4,10,7,5,7,1,30,0.3333333333333333,0.23333333333333334,0.16666666666666666,0.23333333333333334,0.03333333333333333
GMPVZ,G,0.45,6,8,5,9,2,30,0.2,0.26666666666666666,0.16666666666666666,0.3,0.06666666666666667
GMPVZ,G,0.5,4,9,2,13,2,30,0.13333333333333333,0.3,0.06666666666666667,0.43333333333333335,0.06666666666666667
GMPVZ,G,0.55,2,8,4,9,7,30,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.3,0.23333333333333334
GMPVZ,G,0.6,1,5,3,12,9,30,0.03333333333333333,0.16666666666666666,0.1,0.4,0.3
GMPVZ,G,0.65,1,1,4,20,4,30,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.6666666666666666,0.13333333333333333
GMPVZ,M,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,M,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,M,0.15,29,0,1,0,0,30,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0
GMPVZ,M,0.2,27,1,1,0,1,30,0.9,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333
GMPVZ,M,0.25,25,1,3,0,1,30,0.8333333333333334,0.03333333333333333,0.1,0.0,0.03333333333333333
GMPVZ,M,0.3,21,3,3,1,2,30,0.7,0.1,0.1,0.03333333333333333,0.06666666666666667
GMPVZ,M,0.35,13,6,4,4,3,30,0.43333333333333335,0.2,0.13333333333333333,0.13333333333333333,0.1
GMPVZ,M,0.4,10,3,8,5,4,30,0.3333333333333333,0.1,0.26666666666666666,0.16666666666666666,0.13333333333333333
GMPVZ,M,0.45,9,6,2,10,3,30,0.3,0.2,0.06666666666666667,0.3333333333333333,0.1
GMPVZ,M,0.5,3,10,4,12,1,30,0.1,0.3333333333333333,0.13333333333333333,0.4,0.03333333333333333
GMPVZ,M,0.55,0,7,8,15,0,30,0.0,0.23333333333333334,0.26666666666666666,0.5,0.0
GMPVZ,M,0.6,0,5,5,18,2,30,0.0,0.16666666666666666,0.16666666666666666,0.6,0.06666666666666667
GMPVZ,M,0.65,0,3,1,21,5,30,0.0,0.1,0.03333333333333333,0.7,0.16666666666666666
GMPVZ,P,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,P,0.1,29,0,0,0,1,30,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333
GMPVZ,P,0.15,28,1,1,0,0,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0
GMPVZ,P,0.2,26,1,3,0,0,30,0.8666666666666667,0.03333333333333333,0.1,0.0,0.0
