i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.13974557183056627,-0.006905075546653714,0.09740332471436192,0.03511886468032235,0.04260483170950697,0.09531539451830394,0.12186670203484812
0,1,0.12791650196612592,0.12523719858273316,-0.03352499245937974,0.16091756620306033,-0.022413345999352546,0.1602962501620462,-0.05978233675360562
0,2,0.09309509877121773,0.23071951848643676,-0.12257830152490148,0.24945109764557702,-0.09384547493769473,0.24921246659855936,-0.15102093291720167
0,3,0.09259184206489558,0.48250614203469416,-0.2964692207919176,0.5003898117465531,-0.23000121487387457,0.4686218443084268,-0.3407605777444361
0,4,0.09080553714638488,0.5450462628990363,-0.2941654421017956,0.5484317090897742,-0.2809828266157523,0.5419524930467386,-0.40917598755911855
1,0,0.08375976410962385,-0.123589984259845,0.12173616745678581,-0.09415547336135319,0.09561488120113189,-0.05314903516119702,0.15225268488575922
1,1,0.08047646822237299,0.0009733811246308499,0.03643006903168724,0.03094049409692412,0.022670184403602425,0.05876430483278614,0.035589930564554555
1,2,0.05172057735319557,0.09521512232671536,-0.03807050257476104,0.10503689430759947,-0.03726845921241846,0.11022210561284806,-0.07022718207636623
1,3,0.026486191606105807,0.21403648858692106,-0.12598238690228353,0.21497337648666248,-0.10001214362134768,0.20830826993704954,-0.16585043641181416
1,4,0.0069215900282322855,0.5224680343681954,-0.3054648546686153,0.47799258918175697,-0.2724632365247628,0.48613998503163336,-0.3647675290866537
2,0,0.05211534392861063,-0.24029329505521801,0.1716403639288881,-0.220748893282567,0.13378796936271417,-0.1654854876542885,0.23102391097015515
2,1,0.03616090438410432,-0.10866807607913191,0.09942045294205958,-0.09118095780251297,0.07412883891727866,-0.05968455010511256,0.10330971018481937
2,2,0.016057261739183534,0.00030860309467690955,0.019091865329221327,0.007732001506447558,0.005540669593954043,0.027991600865781303,0.0005576704322967182
2,3,-0.020932703178829924,0.1046094191320723,-0.0660645105509608,0.09271360595138667,-0.07797838157091706,0.1002871363148184,-0.09977723557533437
2,4,-0.02014329810893052,0.2399032136084623,-0.16072940009747566,0.21511703741283938,-0.1678278586069171,0.20900519908565432,-0.21964794335151971
3,0,0.001214158429831214,-0.40383180263794977,0.2951173450559561,-0.4398159559439069,0.18435838876059996,-0.33194786556451467,0.3958955992731772
3,1,-0.006003742201094284,-0.22700962010049522,0.16322958313790936,-0.22611297092414787,0.10285305221261286,-0.17382834401139585,0.19310380288184556
3,2,-0.018002476186084505,-0.1023700187314111,0.07294105824879886,-0.11254221967258222,0.03790228925230726,-0.08388378814020013,0.07094047411147197
3,3,-0.05219870019765744,-0.0027071184116354823,-0.011159572543278887,-0.02039921228487719,-0.03678618613746158,0.00039735093444733053,-0.023854173742390204
3,4,-0.07821415687088175,0.1375132538874194,-0.09751304782491983,0.08192361417185524,-0.09164807140034754,0.08831399423275064,-0.1960975104166443
4,0,0.12875094971907464,-0.6348038324468138,0.4098081364720337,-0.632369784954541,0.26918397680000833,-0.5396808983539012,0.5183578797230493
4,1,-0.04378199790822102,-0.4157461888862524,0.27972484720084084,-0.46870478283382305,0.15655719702239176,-0.35437765031381024,0.3939238535938304
4,2,-0.046281611533457126,-0.2330022836909498,0.13865184930949345,-0.24787983614667558,0.09211018595764343,-0.1995398909417832,0.16998682016663738
4,3,-0.10713012175394254,-0.11564807276295865,0.06568296103441822,-0.15963560900298304,0.03352913360160625,-0.12401736175047198,0.01129912118733371
4,4,-0.0965079352983607,0.010053999152755825,-0.00245917569748483,-0.030687088217305453,-0.024488523430791536,-0.00437111273350678,-0.08829775973348626
