country,i,j,dist
Austria,1,4,1.502169144552568
Belgium,2,4,1.0679385332098577
Bulgaria,4,0,2.070694989717653
Croatia,4,0,2.0136400939757335
Czech Republic,3,4,1.4296240260050148
Denmark,1,4,0.9899991982047633
Estonia,4,0,1.7852007382305464
Finland,0,1,1.2052894252661734
Germany,0,3,1.6742775043367961
Greece,4,0,3.6452188959505105
Hungary,4,0,0.7879715206382509
Iceland,0,4,2.10480664969239
Ireland,1,4,2.2349576358409697
Italy,0,3,1.2610152905004242
Latvia,4,0,1.900625262344899
Lithuania,4,0,1.6043264145868619
Luxembourg,0,4,3.548342356873631
Netherlands,1,4,1.3489106394383434
Norway,0,4,2.158725722459592
Poland,4,0,0.8404562967647528
Portugal,2,0,1.1583804011862686
Slovakia,4,1,1.1980780210071476
Slovenia,4,3,1.57105980024936
Spain,0,0,3.4722746702563283
Sweden,0,4,1.7764392918736005
Switzerland,0,4,2.782120652880973
Ukraine,4,0,4.938693269252871
United Kingdom,0,1,1.948177703914346
