i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.9845250247952759,-0.10937114473439105,0.08684628917208384,0.3611760347838951,-0.24414742131695932,0.5163787340357182,1.2612190026919372
0,1,0.4875767194429004,0.10669256502693178,0.06482902587122517,0.12344974291770222,0.1782296368657213,0.031429761200874866,-0.13204774327617952
0,2,-0.19269047371027467,-0.3714846836175882,-0.2238669313606915,-0.28723185581827654,0.3688785941979102,-0.08231470863304878,0.682858782926671
0,3,0.5155298250509425,0.17916580563302964,-0.1718560279577851,0.2358518953114881,-0.06099953961388941,-0.15553814182707276,-0.30440504128592366
0,4,-0.06624496229076703,0.22027212690737072,0.2500619479730442,0.3990016630714539,-0.8434983646401859,0.617657146736473,-0.22087745066941983
1,0,-0.28756896934900195,-0.10507399297788407,-0.3664498175337069,-0.13184546739659614,0.024235368291694478,-0.19097220773205123,0.222308104281968
1,1,-0.16016911245993506,0.22669625901067025,-0.13616732688981012,0.2290935066140104,-0.35544357229577,0.8258837589510681,0.41234227927947337
1,2,-0.06819008788198594,-0.4726491205618917,0.29337714529524234,-0.5343067651404287,0.4565815394171223,-0.619178125505786,0.005577188310215457
1,3,-0.018689228484290957,-0.13845243704410679,0.04948393830591747,0.20930717692789766,1.265449453352571,0.034745594392806514,0.6276244494606434
1,4,-0.3334361139996267,1.3398261601073287,0.07803774333758783,0.1854892250936581,-0.35794461195927163,0.8987410821459276,-0.3424394926682308
2,0,-0.2884372693472148,-0.1057973829544961,-0.36800391950225664,-0.1284519370555534,0.02793505195395844,-0.1905037291462694,0.21446684968457438
2,1,-0.11173452465370919,-0.23389148259367368,0.1618556978300313,0.034057283340985275,0.314023253773158,0.10894881977940009,0.265431100017756
2,2,0.2336705835053305,0.11876456544707811,0.37183430582532395,0.2139113223914841,0.49831950065871744,0.391892145900612,-0.12102682588424168
2,3,-0.22326598900711317,0.14223155319000644,-0.09103983608554063,0.05829614622212876,-0.1600533287082012,0.16768526877409723,-0.29542444058431633
2,4,0.7204807006115664,0.25436605100021514,-0.04321032388672651,0.35749652009376004,-0.06721431671923427,0.1258491013961665,-0.1999885497608699
3,0,-0.2713420574612316,0.13977809785466605,0.10585532201804823,0.1356581802056211,-0.14910838116968783,-0.012432701293475953,-0.1836375336965172
3,1,-0.17772191059393863,-0.3510749487494342,0.27062903331895194,-0.3486431859874356,-0.3611426868033783,-0.24828341852059727,0.48697953862426
3,2,0.45356126206484454,0.10835855752408634,0.04552253134912883,0.1260879723723289,0.16770728218998296,0.02882194822295215,-0.1528304529661228
3,3,-0.22882514272156895,0.14605328774815787,-0.09873353155360053,0.05957561065499596,-0.1668901754216169,0.16761150892607551,-0.30693522641831983
3,4,0.41146240634117814,0.6107642793299145,-0.52865716338532,0.2488369077111653,0.13019964441009693,0.23932020785206257,-0.598699282725662
4,0,0.5789457584228854,0.10743955119206237,-0.2010186169265731,0.21097870838473776,-0.0490652764857075,-0.26965730702512014,-0.30339020287778706
4,1,-0.18410051589689516,-0.3765379504324562,0.2719735810435485,-0.3816055282310538,-0.354850534736778,-0.2830323308265358,0.5148928288581759
4,2,0.4660614882314889,0.11077235282435463,0.043554832961913016,0.12708830899450824,0.17216210491501033,0.0238570149267522,-0.16258711382217272
4,3,-0.17882964180997787,-0.12049009393607303,-0.35986160076931617,-0.12726297029050962,-0.24570223432221253,-0.13907671855306825,-0.15118822063667547
4,4,-0.152576714839383,-0.22333674507379794,0.16767839193087997,0.04874238048031121,0.3359136654539861,0.13056109568733024,0.21013957040231204
