i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.010519457501709692,0.01702827531848159,-0.07573503307542528,0.10953526435199927,-0.05987064033288105,0.10468987696660594,-0.03935329498698456
0,1,0.04154904794266186,0.015199258070004705,-0.06060926610566995,0.04651363925224536,0.004624123629910333,0.03153596702087934,-0.014154733606117194
0,2,0.030803069956531,-0.1072716477969294,0.15474970648856107,-0.17915238976567224,-0.03177520944546287,-0.045635490440506674,0.012309647728908035
1,0,0.057686732343326504,0.05960941770128719,-0.14834574412709894,0.11775613647907529,0.027798783076504432,0.044972855508237514,-0.08185128346814947
1,1,-0.08947134536281956,-0.023344183415331208,-0.09143410646149813,-0.008544198337320388,0.03577868664672609,0.030547074198270026,0.05139093826844516
1,2,-0.1603564795634946,0.15259066088685108,-0.01847872227947608,-0.00485133450678019,-0.060330057295051594,0.1293499224656752,-0.019152234213309093
2,0,0.09427636082173806,0.17950451085658356,-0.2911532941689155,0.2224288568920077,0.08710518844596855,0.1552082193057213,-0.17861476020297634
2,1,-0.058618795062689195,0.048769832807530555,-0.12334857584364387,0.08576237078035759,-0.012174503980308157,0.10249462497122787,-0.04332454022108963
2,2,-0.11687445727681965,0.0857764335838151,-0.12864770193856542,0.09873153750308278,-0.005059367130181476,0.11045761850343493,-0.09673414043642092
