fase,letra,ruido,iters,motivo,convergio_a,outcome,es_fijo,hamming_inicial,hamming_final,energia_inicial,energia_final
exp1,G,0.0,1,stable,G,TP,True,0,0,-10.239999999999998,-10.239999999999998
exp1,M,0.0,1,stable,M,TP,True,0,0,-10.879999999999999,-10.879999999999999
exp1,P,0.0,1,stable,P,TP,True,0,0,-10.240000000000002,-10.240000000000002
exp1,V,0.0,1,stable,V,TP,True,0,0,-10.719999999999999,-10.719999999999999
exp1,Z,0.0,1,stable,Z,TP,True,0,0,-10.56,-10.56
exp2_n10,G,0.1,2,stable,G,TP,False,1,0,-8.32,-10.239999999999998
exp2_n20,G,0.2,2,stable,G,TP,False,5,0,-2.56,-10.239999999999998
exp2_n10,M,0.1,2,stable,M,TP,False,2,0,-7.199999999999999,-10.879999999999999
exp2_n20,M,0.2,6,stable,,Espurio,False,6,5,-3.1999999999999997,-9.92
exp2_n10,P,0.1,2,stable,P,TP,False,1,0,-8.8,-10.240000000000002
exp2_n20,P,0.2,2,stable,P,TP,False,4,0,-3.8400000000000003,-10.240000000000002
exp2_n10,V,0.1,1,stable,V,TP,False,0,0,-10.719999999999999,-10.719999999999999
exp2_n20,V,0.2,3,stable,V,TP,False,4,0,-4.8,-10.719999999999999
exp2_n10,Z,0.1,2,stable,Z,TP,False,2,0,-7.68,-10.56
exp2_n20,Z,0.2,3,stable,Z,TP,False,8,0,0.15999999999999998,-10.56
