caso,letra,pixel,input,output
exp2_n20,M,21,1,-1
exp2_n20,M,22,-1,-1
exp2_n20,M,23,-1,-1
exp2_n20,M,24,1,-1
exp2_n10,P,0,1,1
exp2_n10,P,1,1,1
exp2_n10,P,2,1,1
exp2_n10,P,3,1,1
exp2_n10,P,4,-1,-1
exp2_n10,P,5,1,1
exp2_n10,P,6,-1,-1
exp2_n10,P,7,-1,-1
exp2_n10,P,8,-1,-1
exp2_n10,P,9,1,1
exp2_n10,P,10,1,1
exp2_n10,P,11,-1,1
exp2_n10,P,12,1,1
exp2_n10,P,13,1,1
exp2_n10,P,14,-1,-1
exp2_n10,P,15,1,1
exp2_n10,P,16,-1,-1
exp2_n10,P,17,-1,-1
exp2_n10,P,18,-1,-1
exp2_n10,P,19,-1,-1
exp2_n10,P,20,1,1
exp2_n10,P,21,-1,-1
exp2_n10,P,22,-1,-1
exp2_n10,P,23,-1,-1
exp2_n10,P,24,-1,-1
exp2_n20,P,0,1,1
exp2_n20,P,1,-1,1
exp2_n20,P,2,1,1
exp2_n20,P,3,1,1
exp2_n20,P,4,-1,-1
exp2_n20,P,5,1,1
exp2_n20,P,6,-1,-1
exp2_n20,P,7,-1,-1
exp2_n20,P,8,-1,-1
exp2_n20,P,9,1,1
exp2_n20,P,10,1,1
exp2_n20,P,11,1,1
exp2_n20,P,12,1,1
exp2_n20,P,13,1,1
exp2_n20,P,14,-1,-1
exp2_n20,P,15,-1,1
exp2_n20,P,16,-1,-1
exp2_n20,P,17,-1,-1
exp2_n20,P,18,1,-1
exp2_n20,P,19,-1,-1
exp2_n20,P,20,1,1
exp2_n20,P,21,-1,-1
exp2_n20,P,22,-1,-1
exp2_n20,P,23,-1,-1
exp2_n20,P,24,1,-1
exp2_n10,V,0,1,1
exp2_n10,V,1,-1,-1
exp2_n10,V,2,-1,-1
exp2_n10,V,3,-1,-1
exp2_n10,V,4,1,1
exp2_n10,V,5,1,1
exp2_n10,V,6,-1,-1
exp2_n10,V,7,-1,-1
exp2_n10,V,8,-1,-1
exp2_n10,V,9,1,1
exp2_n10,V,10,1,1
exp2_n10,V,11,-1,-1
exp2_n10,V,12,-1,-1
exp2_n10,V,13,-1,-1
exp2_n10,V,14,1,1
exp2_n10,V,15,-1,-1
exp2_n10,V,16,1,1
exp2_n10,V,17,-1,-1
exp2_n10,V,18,1,1
exp2_n10,V,19,-1,-1
exp2_n10,V,20,-1,-1
exp2_n10,V,21,-1,-1
exp2_n10,V,22,1,1
exp2_n10,V,23,-1,-1
exp2_n10,V,24,-1,-1
exp2_n20,V,0,1,1
exp2_n20,V,1,1,-1
exp2_n20,V,2,-1,-1
exp2_n20,V,3,-1,-1
exp2_n20,V,4,1,1
exp2_n20,V,5,1,1
exp2_n20,V,6,-1,-1
exp2_n20,V,7,-1,-1
exp2_n20,V,8,-1,-1
exp2_n20,V,9,-1,1
exp2_n20,V,10,1,1
exp2_n20,V,11,-1,-1
exp2_n20,V,12,-1,-1
exp2_n20,V,13,-1,-1
exp2_n20,V,14,1,1
exp2_n20,V,15,-1,-1
exp2_n20,V,16,1,1
exp2_n20,V,17,-1,-1
exp2_n20,V,18,1,1
exp2_n20,V,19,1,-1
exp2_n20,V,20,-1,-1
exp2_n20,V,21,-1,-1
exp2_n20,V,22,1,1
exp2_n20,V,23,1,-1
exp2_n20,V,24,-1,-1
exp2_n10,Z,0,1,1
exp2_n10,Z,1,1,1
exp2_n10,Z,2,1,1
exp2_n10,Z,3,1,1
exp2_n10,Z,4,1,1
exp2_n10,Z,5,-1,-1
exp2_n10,Z,6,-1,-1
exp2_n10,Z,7,-1,-1
exp2_n10,Z,8,1,1
exp2_n10,Z,9,-1,-1
exp2_n10,Z,10,1,-1
exp2_n10,Z,11,-1,-1
exp2_n10,Z,12,1,1
exp2_n10,Z,13,-1,-1
exp2_n10,Z,14,-1,-1
exp2_n10,Z,15,-1,-1
exp2_n10,Z,16,-1,1
exp2_n10,Z,17,-1,-1
exp2_n10,Z,18,-1,-1
exp2_n10,Z,19,-1,-1
exp2_n10,Z,20,1,1
exp2_n10,Z,21,1,1
exp2_n10,Z,22,1,1
exp2_n10,Z,23,1,1
exp2_n10,Z,24,1,1
exp2_n20,Z,0,1,1
exp2_n20,Z,1,1,1
exp2_n20,Z,2,-1,1
exp2_n20,Z,3,-1,1
exp2_n20,Z,4,-1,1
exp2_n20,Z,5,1,-1
exp2_n20,Z,6,-1,-1
exp2_n20,Z,7,-1,-1
exp2_n20,Z,8,1,1
exp2_n20,Z,9,-1,-1
exp2_n20,Z,10,-1,-1
exp2_n20,Z,11,-1,-1
exp2_n20,Z,12,1,1
exp2_n20,Z,13,-1,-1
exp2_n20,Z,14,1,-1
exp2_n20,Z,15,1,-1
exp2_n20,Z,16,1,1
exp2_n20,Z,17,1,-1
exp2_n20,Z,18,-1,-1
exp2_n20,Z,19,-1,-1
exp2_n20,Z,20,1,1
exp2_n20,Z,21,1,1
exp2_n20,Z,22,-1,1
exp2_n20,Z,23,1,1
exp2_n20,Z,24,1,1
