i,j,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
0,0,0.07040155559424578,-0.05430674455214621,-0.07418272180546648,0.11746386877886326,0.221534905180958,0.006774923820924811,0.2259735915562742
0,1,0.09981823401062505,-0.1338197343215181,0.015247410728047939,0.01855875871883062,0.2676360587195982,-0.0812670720593382,0.23300768437568412
0,2,0.10455576352909644,-0.17149806495177503,0.06306237168792468,-0.03535417674508352,0.267952427289527,-0.1104771675662888,0.2474033150686411
0,3,0.10497005618635062,-0.23765419476847865,0.12496749642429879,-0.1103173579438296,0.2954060326825838,-0.17892713964453738,0.29727884426351375
0,4,0.11329325595533625,-0.297790036253608,0.154056555548243,-0.14971725253128676,0.3162577888216747,-0.21769741806661305,0.3242059570097975
0,5,0.12904250986776725,-0.39931377603377094,0.21936413417856127,-0.22605995070660517,0.3713612173647076,-0.31401026554211936,0.4115437147088842
0,6,0.18808905805878134,-0.46099812229884973,0.29542534473114873,-0.2546362534808839,0.4219864477705792,-0.3711925705205343,0.4514956856220368
0,7,0.15388715842381484,-0.38897006401573186,0.31395849289431915,-0.24486853665100272,0.4724921555203528,-0.30562113271288255,0.4467478952526841
0,8,0.15841595240277676,-0.4852325787975946,0.3644602128333833,-0.27132691946607185,0.5202017450933628,-0.36432028763996016,0.4829706989277245
0,9,0.09238311417804143,-0.6193145212095383,0.43082727494489764,-0.40127482232988926,0.6646082289353479,-0.4424237355416693,0.593325380066829
0,10,0.07920274046206303,-0.6718559659261155,0.43326188642983127,-0.39835227018885766,1.0413282717417773,-0.4384312141232828,0.8475549900331286
0,11,0.0475233023076614,-0.6207190793290299,0.411074423563482,-0.4139255410033637,0.7613062160409534,-0.31872490911212936,0.8097077708805359
0,12,0.031067402877469792,-0.6286266220067316,0.41542468037806524,-0.4211767219491456,0.8239954760067344,-0.4220544940171029,0.6655384903397694
0,13,0.12311950592335831,-0.6954450619736363,0.4764910941077362,-0.41305451167030666,0.8980015243208512,-0.4507720749335437,0.6916233716957892
0,14,0.14771852647958347,-0.6691269849179697,0.5119527065748664,-0.47723956294267217,0.9183542471098229,-0.500171232979291,0.6805458483333402
1,0,0.057910021709642844,0.021328680416483215,-0.12106751515354955,0.16715645497059167,0.14451823317183107,0.06206574973102747,0.12417728501937114
1,1,0.0954668743673274,-0.04459487358972119,-0.033292806772748484,0.08409140949121809,0.18384696388618813,-0.0008141787909381181,0.1495886933412799
1,2,0.0909236489628461,-0.09789455028533887,0.018423089298502757,0.02554753265781381,0.20612768857584743,-0.04418193391140881,0.1765230189452012
1,3,0.087712216757189,-0.13553469438729865,0.057420530806427506,-0.026266147820144824,0.2046372136245015,-0.09273508759197459,0.19069932919626434
1,4,0.09003722488423495,-0.19970646851418614,0.08813524408273296,-0.09068893864374554,0.24426484939239707,-0.13797138244395385,0.2501256550135358
1,5,0.10019291392456546,-0.23303180082232866,0.13568132451132406,-0.12519254408748703,0.250486862453415,-0.15929281835223,0.2717974729904277
1,6,0.10266396858589595,-0.30584206439105255,0.18221884533915564,-0.1971384874098107,0.30331211838468913,-0.23868363563397318,0.30643435167853117
