Country,pc1_oja,pc1_pca_lib,diff
Austria,1.06151819313547,1.0622551157859386,-0.0007369226504685411
Belgium,0.6689603518076703,0.66882109819286,0.00013925361481037513
Bulgaria,-2.5621121063468673,-2.5628501209089847,0.0007380145621174172
Croatia,-1.2449340791999683,-1.247261409108341,0.0023273299083725885
Czech Republic,0.16494997637919384,0.1641964633307692,0.0007535130484246366
Denmark,0.9382470722974527,0.9379787423315316,0.00026832996592118796
Estonia,-2.4426285949195483,-2.4429074884220467,0.00027889350249843403
Finland,0.20620624482479394,0.2067689148437728,-0.0005626700189788614
Germany,0.5810658645296352,0.5817190190866761,-0.000653154557040958
Greece,-0.9793944834250061,-0.9824439585763961,0.00304947515138998
Hungary,-1.371487391189168,-1.3717269121041218,0.00023952091495371697
Iceland,1.5535827681746852,1.5551818748850295,-0.0015991067103442447
Ireland,1.7766973257099095,1.7763218310144742,0.0003754946954352967
Italy,0.8376024815381357,0.8378492983766748,-0.00024681683853911007
Latvia,-2.2647155946993753,-2.264505385059275,-0.00021020964010043386
Lithuania,-1.5025207732039771,-1.5025282839007292,7.510696752088819e-06
Luxembourg,3.415084711446281,3.415755319088448,-0.000670607642167198
Netherlands,1.8075481981548545,1.8068965738969431,0.0006516242579113207
Norway,2.0685461372048533,2.0685525744091033,-6.437204250087092e-06
Poland,-1.4459113929883096,-1.445253208063996,-0.0006581849243136872
Portugal,-0.5160337460403533,-0.5170061914939651,0.0009724454536117477
Slovakia,-0.7688223695546491,-0.7688573205118832,3.495095723404784e-05
Slovenia,-0.06453783336773539,-0.06632627793932466,0.001788444571589276
Spain,0.16000704882302874,0.1608159591577959,-0.0008089103347671545
Sweden,0.86785021041105,0.8691561598899641,-0.001305949478914048
Switzerland,3.22346280409554,3.2224536074606487,0.0010091966348912962
Ukraine,-4.502603511698852,-4.497733954105657,-0.004869557593194962
United Kingdom,0.3343724881011846,0.3346779584440196,-0.0003054703428350125
