epoch,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
init,0.7739560485559633,0.4388784397520523,0.8585979199113825,0.6973680290593639,0.09417734788764953,0.9756223516367559,0.761139701990353
0,1.7516920451619309,0.25790997330285054,-2.206566631029032,0.16931460765877734,-2.504965114808681,4.797785462480411,-1.6461517818105644
1,-0.9642798302712314,0.4020121113653706,-0.6379941185836597,1.00972856502126,0.46067825648663213,0.033260478438329646,0.9127141344096101
2,-0.812251304505721,0.18336045077471774,-0.611371950706292,0.5866319274169385,0.03588154052803697,0.060879783337136055,0.4507462970416038
3,-0.6014148822217537,0.34109245723247755,-0.7160805528529681,0.6474546788377082,0.08266527089428995,0.2849771886931646,0.16048619414794046
4,-0.4967274800996578,0.4027635097494414,-0.6937479567681049,0.6057951138434823,0.018646135931839343,0.36151980724543903,-0.002275822453599945
5,-0.4252364665858744,0.4299233082973582,-0.6523941973100228,0.5759264183961839,-0.014046062906347002,0.3896686251650583,-0.07520972287977118
6,-0.37718454976377225,0.4449536941086673,-0.6191553976973059,0.5565123116296429,-0.03575378245229886,0.4052341972304037,-0.11571681303875941
7,-0.3424520073226244,0.45485882967583185,-0.5933309335734288,0.5433119359027099,-0.05206595140437957,0.41581049287374616,-0.14200489012572953
8,-0.31605987478794406,0.46199483744505815,-0.5729157354479057,0.5338936412427208,-0.06506208416423853,0.4236787670596869,-0.16065042770873314
9,-0.29529831754316166,0.46739475922019064,-0.5564315319041883,0.5268966247710197,-0.07575323222992464,0.4298103817963305,-0.17462413437895935
10,-0.2785381981506741,0.4716127278209105,-0.5428660754561492,0.5215234620810693,-0.08473273021923412,0.4347287692203852,-0.18550131982606247
11,-0.2647295058741217,0.474985101672564,-0.5315187562963231,0.5172833520553894,-0.0923906825978406,0.43875713457713916,-0.1942104553566996
12,-0.2531611635441606,0.47773179612810285,-0.5218931365800794,0.5138607303378226,-0.09900146128274054,0.4421112619813072,-0.20133958599219146
13,-0.24333332257431445,0.4800036596836298,-0.513628940186111,0.511044905639952,-0.10476641796175579,0.44494238003717884,-0.2072810160076932
14,-0.23488405621353167,0.48190774856420937,-0.5064589232431296,0.5086905598825684,-0.10983770343406184,0.4473600775473036,-0.21230706427396634
15,-0.22754482630898304,0.48352205684315996,-0.5001809407614481,0.5066946026433485,-0.11433283070832488,0.4494457946153217,-0.21661284631156658
16,-0.22111222504714173,0.48490463308586973,-0.49463941122627286,0.5049820832854642,-0.1183441547259385,0.4512612915895524,-0.2203418600579726
17,-0.21542940666654745,0.4860994708002264,-0.48971272543286487,0.5034973236028389,-0.12194531980861896,0.45285420891862177,-0.2236019925546726
18,-0.2103735278651434,0.4871404408961888,-0.4853045059188218,0.502198168166582,-0.12519578817618962,0.45426184054182617,-0.22647590730322617
19,-0.20584704049093938,0.4880539867316984,-0.48133741844223854,0.5010521564190401,-0.12814410066907997,0.4555137625743904,-0.22902799424140188
