K,country,dist_mean,dist_std
5,Austria,1.5101189248273923,0.1363574787740664
5,Belgium,1.0569167238063657,0.05555258027008668
5,Bulgaria,2.133980457061264,0.04236500009400603
5,Croatia,2.036762069541274,0.07412897966681155
5,Czech Republic,1.3821861515541625,0.034521993144375575
5,Denmark,0.9698602783578073,0.13577639063250416
5,Estonia,1.8524631462246366,0.05854387780330654
5,Finland,1.1833244474990932,0.07583989274705805
5,Germany,1.662378857859704,0.06951708216811604
5,Greece,3.580824321106357,0.08211452074688112
5,Hungary,0.768914771200532,0.103734927600129
5,Iceland,2.1613425958378123,0.1334222453246044
5,Ireland,2.2635365809983305,0.07922063822096506
5,Italy,1.261479359577763,0.11423974545587572
5,Latvia,1.9611373712095481,0.09619485166019116
5,Lithuania,1.6271512961660117,0.10434184304066542
5,Luxembourg,3.563457491896463,0.11949450161757627
5,Netherlands,1.347027541136958,0.12093810851093538
5,Norway,2.146544896167542,0.12854707568743934
5,Poland,0.9601503380128387,0.18355538832434645
5,Portugal,1.1531750571702126,0.01877529954330143
5,Slovakia,1.1875221412437778,0.08947345257265235
5,Slovenia,1.548041059271953,0.01743046378468811
5,Spain,3.4940573894396403,0.05665850644427801
5,Sweden,1.7665358212450735,0.09444520864131967
5,Switzerland,2.767590525711294,0.12901298714533282
5,Ukraine,5.048183402968846,0.11475027853431805
5,United Kingdom,1.9000100886640408,0.08155304470759907
8,Austria,1.4566899594051745,0.13022140291481218
8,Belgium,0.9873434493107291,0.0487143039856639
8,Bulgaria,2.102770541557075,0.14232199110202343
8,Croatia,2.0161043233138978,0.1187783063480403
8,Czech Republic,1.351880475077866,0.05816095931190268
8,Denmark,0.9104864689027439,0.11065714814134696
8,Estonia,1.7740178005200584,0.09114412357837277
8,Finland,1.1519620384415266,0.07356155170694671
8,Germany,1.6281085511100617,0.018630819199025945
8,Greece,3.6072947690052466,0.03950602316223074
8,Hungary,0.6934469840367836,0.024682149118671688
8,Iceland,2.1759389909270146,0.12255744553923512
8,Ireland,2.2637739373541463,0.0835808894908354
8,Italy,1.2259039388949242,0.14075096947252366
8,Latvia,1.8618518999389426,0.03779498670287215
8,Lithuania,1.528031936024028,0.09475612721599908
8,Luxembourg,3.5444943089644183,0.18866777929222164
8,Netherlands,1.2757743687094032,0.30670791503505956
8,Norway,2.071004871300272,0.11347012418850846
8,Poland,1.0020221660417015,0.1815012705058215
8,Portugal,1.139309305843471,0.012027391621580435
8,Slovakia,1.1456041755147228,0.15079291329353922
8,Slovenia,1.5437477474874786,0.04128550386357471
8,Spain,3.4104885139236303,0.14900036966916047
8,Sweden,1.7109894336212013,0.13969917929401401
8,Switzerland,2.7129953241426956,0.296582658461287
8,Ukraine,5.03456070779781,0.18958882229842755
8,United Kingdom,1.8772706692835612,0.08257260420783719
15,Austria,1.325574226873061,0.09933972029003023
15,Belgium,0.9552704499488135,0.0920647003095695
15,Bulgaria,1.9719648576299886,0.14363802217683821
15,Croatia,1.7971900913095034,0.14641620054154345
15,Czech Republic,1.3478194221110606,0.08793240856175985
15,Denmark,0.8270931397720703,0.11497487234794175
15,Estonia,1.656288229318393,0.12081986606440835
15,Finland,1.2280980588459562,0.09026567500570298
15,Germany,1.6111478176152918,0.010493912230850553
15,Greece,3.3041536518143895,0.2898324314619301
15,Hungary,0.6595316612587081,0.19468682832211917
15,Iceland,2.0914921898643994,0.07652608207391709
15,Ireland,2.250232081719911,0.09194253131181483
15,Italy,1.2306234278347918,0.15356583952386157
15,Latvia,1.7947239497770375,0.21325216926417195
15,Lithuania,1.4833807592367472,0.14763539373229492
15,Luxembourg,3.452969299052087,0.12172464339592433
15,Netherlands,1.1388641782112006,0.1454027041290077
15,Norway,1.9849034609054157,0.09233781397777635
15,Poland,0.9594363101026981,0.18831708137509495
15,Portugal,1.040654008802108,0.08089156273493954
15,Slovakia,1.1696669545418075,0.10309342411892902
15,Slovenia,1.5406095703473688,0.0507542778344813
15,Spain,3.437840196951222,0.11954823852065699
15,Sweden,1.7213284723810616,0.09324183633689544
15,Switzerland,2.5483471512711344,0.15617093690101957
15,Ukraine,4.9175675072445655,0.17285812059518568
15,United Kingdom,1.9306928347409726,0.11450471835652426
20,Austria,1.3931817065245184,0.20419262548260625
20,Belgium,0.9735832118751878,0.1104280768086269
20,Bulgaria,2.0940719209134224,0.3108760746606533
20,Croatia,1.8907572432106492,0.40788772909649185
20,Czech Republic,1.3413090274513255,0.06736900076001875
20,Denmark,0.8219984044083093,0.18236972538804191
20,Estonia,1.8161305960734881,0.42901649232913863
20,Finland,1.043460561009433,0.19991595547682287
20,Germany,1.5707675393573484,0.1394257478391098
20,Greece,3.14222001935971,0.34928228141288453
20,Hungary,0.8439221684667763,0.30894105842723235
20,Iceland,2.144574104261591,0.20996232351755478
20,Ireland,2.2214075421159394,0.1421306395852157
20,Italy,1.2482836334764251,0.11271522584602767
20,Latvia,1.9293789199639675,0.383031352143104
20,Lithuania,1.582903847952532,0.29384969891059703
20,Luxembourg,3.4981823393637947,0.23620814969773146
20,Netherlands,1.2227066415844938,0.2295008872118342
20,Norway,2.145869030489022,0.3574635258635884
20,Poland,0.9975222329385904,0.14254742920745342
20,Portugal,1.038149377848248,0.13158461905283492
20,Slovakia,1.1972623365364075,0.1474942041753792
20,Slovenia,1.4974198014855988,0.07142644565855222
20,Spain,3.4242516818314828,0.13312392547214133
20,Sweden,1.7572961041393582,0.1233039312123146
20,Switzerland,2.6578325299968535,0.27282669258235404
20,Ukraine,4.862077566366793,0.23278295034547894
20,United Kingdom,1.7679214283990876,0.21538211912143615
