K,seed,country,i,j,dist
2,5,Denmark,0,0,1.2426496757421277
2,5,Estonia,1,1,2.603213304161619
2,5,Finland,0,0,1.2802218284501703
2,5,Germany,0,0,1.78109314073627
2,5,Greece,1,1,3.8199261091378305
2,5,Hungary,1,1,1.408797686358446
2,5,Iceland,0,0,2.5619223816942918
2,5,Ireland,0,0,2.625136247865091
2,5,Italy,0,0,1.5134261649852718
2,5,Latvia,1,1,2.6189496843092313
2,5,Lithuania,1,1,2.106412215965174
2,5,Luxembourg,0,0,4.212044060090447
2,5,Netherlands,0,0,1.9389394750084405
2,5,Norway,0,0,2.729290958524075
2,5,Poland,1,1,1.5505548514552396
2,5,Portugal,1,1,1.2753427616773805
2,5,Slovakia,1,1,1.457970677707689
2,5,Slovenia,1,1,1.6027454218324515
2,5,Spain,0,0,3.6516548880144417
2,5,Sweden,0,0,2.054471538548677
2,5,Switzerland,0,0,3.486695726966793
2,5,Ukraine,1,1,5.653052822998993
2,5,United Kingdom,0,0,2.0267365859674733
2,6,Austria,0,0,1.8296208567266319
2,6,Belgium,0,0,1.2203853052431548
2,6,Bulgaria,1,1,2.8610709736878195
2,6,Croatia,1,1,2.40781346854295
2,6,Czech Republic,1,0,1.5015481996915543
2,6,Denmark,0,0,1.2485484635448514
2,6,Estonia,1,1,2.6298392288022687
2,6,Finland,0,0,1.3254853676332157
2,6,Germany,0,0,1.8208664412025393
2,6,Greece,1,1,3.7822835991295234
2,6,Hungary,1,1,1.4345802924599877
2,6,Iceland,0,0,2.542690956734726
2,6,Ireland,0,0,2.578184694345402
2,6,Italy,0,0,1.5318901984508615
2,6,Latvia,1,1,2.6534577002386377
2,6,Lithuania,1,1,2.1244760252599946
2,6,Luxembourg,0,0,4.208749498024833
2,6,Netherlands,0,0,1.9544968947058763
2,6,Norway,0,0,2.7582288577827145
2,6,Poland,1,1,1.541469068131553
2,6,Portugal,1,1,1.2431592926712947
2,6,Slovakia,1,1,1.4682677336109562
2,6,Slovenia,1,1,1.6142344497601955
2,6,Spain,0,0,3.620357236155556
2,6,Sweden,0,0,2.0816162420216866
2,6,Switzerland,0,0,3.4809503142546494
2,6,Ukraine,1,1,5.670968078480717
2,6,United Kingdom,0,0,2.0568112065371036
2,7,Austria,1,1,1.794140839583901
2,7,Belgium,1,1,1.1830047764892957
2,7,Bulgaria,0,0,2.883663784775881
2,7,Croatia,0,0,2.430895570362894
2,7,Czech Republic,1,1,1.4941680340781853
2,7,Denmark,1,1,1.1994190358070338
2,7,Estonia,0,0,2.6434835719556156
2,7,Finland,1,1,1.3136755105651927
2,7,Germany,1,1,1.792146509361967
2,7,Greece,0,0,3.80254301499442
2,7,Hungary,0,0,1.4550990900391934
2,7,Iceland,1,1,2.541355511565923
2,7,Ireland,1,1,2.5790445099602546
2,7,Italy,1,1,1.5148694585429858
2,7,Latvia,0,0,2.6578271936819
2,7,Lithuania,0,0,2.1207214500064113
2,7,Luxembourg,1,1,4.176269173046438
2,7,Netherlands,1,1,1.8934390599420792
2,7,Norway,1,1,2.705527628476018
2,7,Poland,0,0,1.5248075081228392
2,7,Portugal,0,0,1.2695876119852663
2,7,Slovakia,0,0,1.4708870758782888
2,7,Slovenia,0,0,1.6461450208477457
2,7,Spain,0,0,3.6258308915537056
2,7,Sweden,1,1,2.069340620425287
2,7,Switzerland,1,1,3.4301922551788633
2,7,Ukraine,0,0,5.651917058806999
2,7,United Kingdom,1,1,2.052059884113228
2,8,Austria,0,1,1.8549016143761874
2,8,Belgium,0,1,1.216720599124661
2,8,Bulgaria,1,0,2.8752671368918192
2,8,Croatia,1,0,2.444441612943684
2,8,Czech Republic,1,0,1.4514742997554853
2,8,Denmark,0,1,1.2500130290089122
2,8,Estonia,1,0,2.6391500057185033
2,8,Finland,0,1,1.316124383021504
2,8,Germany,0,1,1.8205638820270498
2,8,Greece,1,0,3.8531316337267385
2,8,Hungary,1,0,1.4365611947559145
2,8,Iceland,0,1,2.5917101131710396
2,8,Ireland,0,1,2.5951142389019015
2,8,Italy,0,1,1.5111965420637012
2,8,Latvia,1,0,2.6362586112547866
2,8,Lithuania,1,0,2.109002741515539
2,8,Luxembourg,0,1,4.234839071457081
