K,country,dist_mean,dist_std
2,Austria,1.8147313163913945,0.025009372656865238
2,Belgium,1.2058877027795893,0.019488878847770535
2,Bulgaria,2.849790416720185,0.037068673025027504
2,Croatia,2.429193981179608,0.015645048317260594
2,Czech Republic,1.4906282519787797,0.015670370102672335
2,Denmark,1.2354259094948437,0.025355280942848227
2,Estonia,2.616390949387857,0.03295795789839028
2,Finland,1.3002812618877966,0.015483300006826227
2,Germany,1.794773977307989,0.015929867425900475
2,Greece,3.815273884831528,0.02189403739979107
2,Hungary,1.4224885996910623,0.032268034463596273
2,Iceland,2.557443754279337,0.024323118944732842
2,Ireland,2.603711242204303,0.02985747370138742
2,Italy,1.518736396644502,0.011584103830306614
2,Latvia,2.631237228117963,0.02760080691860274
2,Lithuania,2.1117483384116853,0.016688340122929086
2,Luxembourg,4.206008951023298,0.029698847122127215
2,Netherlands,1.9325652063583978,0.029921054511055815
2,Norway,2.7315892477734174,0.024668071416134266
2,Poland,1.5416707315848381,0.03678783210906775
2,Portugal,1.2745122325254457,0.018915641337599196
2,Slovakia,1.461255334510112,0.01288670907922721
2,Slovenia,1.6177972024765157,0.020001931210659855
2,Spain,3.640650303305693,0.01736496094986223
2,Sweden,2.0672503412336938,0.014178063812580492
2,Switzerland,3.472556247250484,0.03161180364742854
2,Ukraine,5.651352131116348,0.037044416596175356
2,United Kingdom,2.0405745258305124,0.011359980221893363
3,Austria,1.5954321993834628,0.04112132523638492
3,Belgium,1.1192695741310834,0.036101874131944836
3,Bulgaria,2.4669760965575516,0.042448688227062416
3,Croatia,2.1517741036876714,0.02890263173094675
3,Czech Republic,1.4555384110470617,0.035064231477860364
3,Denmark,1.0502026102738746,0.05080251993547335
3,Estonia,2.206106727494932,0.03599833077620975
3,Finland,1.2649361128164267,0.030692244070481187
3,Germany,1.6636663706292798,0.0151823307869405
3,Greece,3.684108576741862,0.026082244984538063
3,Hungary,1.0243253401241323,0.03899122576886428
3,Iceland,2.3135987481432596,0.03470359083372889
3,Ireland,2.4119313405164866,0.04438360501215475
3,Italy,1.3297926147060064,0.03923544054797538
3,Latvia,2.2671447772107665,0.030114222943529317
3,Lithuania,1.8156140820843998,0.03318736713753506
3,Luxembourg,3.865186409991422,0.040204454797787545
3,Netherlands,1.5818671503401862,0.05005903761888818
3,Norway,2.3897547851168914,0.033576315624908266
3,Poland,1.250350332504135,0.04563510378675858
3,Portugal,1.1534182046873076,0.017418939022605426
3,Slovakia,1.2830209315576857,0.032177873533412324
3,Slovenia,1.5762555634785622,0.008379597442897086
3,Spain,3.602016899832337,0.036689290012251595
3,Sweden,1.862255869903203,0.03025520917591524
3,Switzerland,3.0972956041547333,0.057947573703602276
3,Ukraine,5.3934464849179875,0.028810697183206266
3,United Kingdom,2.00775734161504,0.025918284375870022
4,Austria,1.5082426568031246,0.10596153980043749
4,Belgium,1.0739414523051525,0.05456145232642755
4,Bulgaria,2.2155453642249157,0.1643957259860222
4,Croatia,2.0362004726447425,0.08814181522376585
4,Czech Republic,1.4114776033007264,0.03323824889852276
4,Denmark,0.9847420209990367,0.10156207697585622
4,Estonia,1.9286036789550924,0.1809628485261499
4,Finland,1.2475062163282271,0.03069729904979713
4,Germany,1.6643343897282954,0.02497686876483438
4,Greece,3.6117267725774207,0.07459202188983083
4,Hungary,0.8400440133863203,0.15621283732241667
4,Iceland,2.2035263171477295,0.08449688034433546
4,Ireland,2.3213839813157913,0.06637379916834231
4,Italy,1.314410347258701,0.06350518161034319
4,Latvia,2.045592432806962,0.1612110280118259
4,Lithuania,1.6730478549772028,0.10140202149821893
4,Luxembourg,3.637892562773694,0.11450430644766672
4,Netherlands,1.3414545624176397,0.13220041354406326
4,Norway,2.1803819649510388,0.13033390913167747
4,Poland,1.032021823407961,0.10645984480409233
4,Portugal,1.140059234392497,0.027780440352462993
4,Slovakia,1.2899127281604943,0.04855892414953317
4,Slovenia,1.5651134924925167,0.01348911056884293
4,Spain,3.58116959079265,0.021620034239669794
4,Sweden,1.8257396424789618,0.061012672113295675
4,Switzerland,2.811622363600072,0.15462520880266742
4,Ukraine,5.15388687759905,0.12507968380719328
4,United Kingdom,1.9829215710006864,0.03281142465228367
