letra,iters,motivo,convergio_a,outcome,es_fijo,energia_inicial,energia_final
H,3,stable,N,FP,False,-27.839999999999996,-33.919999999999995
M,3,stable,N,FP,False,-30.879999999999992,-33.919999999999995
N,1,stable,N,TP,True,-33.919999999999995,-33.919999999999995
W,3,stable,N,FP,False,-30.879999999999995,-33.919999999999995
