caso,letra,pixel,input,output
exp2_n20,M,18,-1,1
exp2_n20,M,19,1,1
exp2_n20,M,20,1,1
exp2_n20,M,21,-1,-1
exp2_n20,M,22,-1,-1
exp2_n20,M,23,-1,-1
exp2_n20,M,24,1,1
exp2_n65,M,0,-1,-1
exp2_n65,M,1,1,1
exp2_n65,M,2,1,1
exp2_n65,M,3,1,1
exp2_n65,M,4,-1,-1
exp2_n65,M,5,-1,-1
exp2_n65,M,6,-1,-1
exp2_n65,M,7,-1,1
exp2_n65,M,8,1,1
exp2_n65,M,9,1,-1
exp2_n65,M,10,1,-1
exp2_n65,M,11,1,1
exp2_n65,M,12,1,-1
exp2_n65,M,13,-1,1
exp2_n65,M,14,-1,-1
exp2_n65,M,15,-1,-1
exp2_n65,M,16,1,1
exp2_n65,M,17,1,1
exp2_n65,M,18,1,-1
exp2_n65,M,19,-1,-1
exp2_n65,M,20,1,-1
exp2_n65,M,21,1,1
exp2_n65,M,22,-1,1
exp2_n65,M,23,1,1
exp2_n65,M,24,-1,-1
exp2_n10,N,0,1,1
exp2_n10,N,1,-1,-1
exp2_n10,N,2,-1,-1
exp2_n10,N,3,-1,-1
exp2_n10,N,4,1,1
exp2_n10,N,5,1,1
exp2_n10,N,6,1,1
exp2_n10,N,7,-1,-1
exp2_n10,N,8,-1,-1
exp2_n10,N,9,1,1
exp2_n10,N,10,1,1
exp2_n10,N,11,-1,-1
exp2_n10,N,12,1,1
exp2_n10,N,13,-1,-1
exp2_n10,N,14,1,1
exp2_n10,N,15,1,1
exp2_n10,N,16,-1,-1
exp2_n10,N,17,-1,-1
exp2_n10,N,18,1,1
exp2_n10,N,19,1,1
exp2_n10,N,20,1,1
exp2_n10,N,21,-1,-1
exp2_n10,N,22,-1,-1
exp2_n10,N,23,-1,-1
exp2_n10,N,24,1,1
exp2_n20,N,0,1,1
exp2_n20,N,1,1,-1
exp2_n20,N,2,-1,-1
exp2_n20,N,3,-1,-1
exp2_n20,N,4,1,1
exp2_n20,N,5,1,1
exp2_n20,N,6,1,1
exp2_n20,N,7,-1,-1
exp2_n20,N,8,-1,-1
exp2_n20,N,9,-1,1
exp2_n20,N,10,1,1
exp2_n20,N,11,-1,-1
exp2_n20,N,12,1,1
exp2_n20,N,13,-1,-1
exp2_n20,N,14,1,1
exp2_n20,N,15,1,1
exp2_n20,N,16,-1,-1
exp2_n20,N,17,-1,-1
exp2_n20,N,18,1,1
exp2_n20,N,19,-1,1
exp2_n20,N,20,1,1
exp2_n20,N,21,-1,-1
exp2_n20,N,22,-1,-1
exp2_n20,N,23,1,-1
exp2_n20,N,24,1,1
exp2_n65,N,0,-1,-1
exp2_n65,N,1,1,1
exp2_n65,N,2,-1,1
exp2_n65,N,3,1,1
exp2_n65,N,4,1,-1
exp2_n65,N,5,1,-1
exp2_n65,N,6,-1,-1
exp2_n65,N,7,1,1
exp2_n65,N,8,-1,1
exp2_n65,N,9,-1,-1
exp2_n65,N,10,-1,-1
exp2_n65,N,11,-1,1
exp2_n65,N,12,-1,-1
exp2_n65,N,13,-1,1
exp2_n65,N,14,-1,-1
exp2_n65,N,15,-1,-1
exp2_n65,N,16,1,1
exp2_n65,N,17,1,1
exp2_n65,N,18,1,-1
exp2_n65,N,19,-1,-1
exp2_n65,N,20,-1,-1
exp2_n65,N,21,-1,1
exp2_n65,N,22,1,1
exp2_n65,N,23,1,1
exp2_n65,N,24,-1,-1
exp2_n10,W,0,1,1
exp2_n10,W,1,-1,-1
exp2_n10,W,2,-1,-1
exp2_n10,W,3,1,-1
exp2_n10,W,4,1,1
exp2_n10,W,5,1,1
exp2_n10,W,6,-1,1
exp2_n10,W,7,-1,-1
exp2_n10,W,8,-1,-1
exp2_n10,W,9,1,1
exp2_n10,W,10,1,1
exp2_n10,W,11,-1,-1
exp2_n10,W,12,1,1
exp2_n10,W,13,-1,-1
exp2_n10,W,14,-1,1
exp2_n10,W,15,1,1
exp2_n10,W,16,1,-1
exp2_n10,W,17,1,-1
exp2_n10,W,18,1,1
exp2_n10,W,19,1,1
exp2_n10,W,20,1,1
exp2_n10,W,21,-1,-1
exp2_n10,W,22,1,-1
exp2_n10,W,23,-1,-1
exp2_n10,W,24,1,1
exp2_n20,W,0,1,1
exp2_n20,W,1,1,-1
exp2_n20,W,2,-1,-1
exp2_n20,W,3,-1,-1
exp2_n20,W,4,-1,1
exp2_n20,W,5,1,1
exp2_n20,W,6,1,1
exp2_n20,W,7,1,-1
exp2_n20,W,8,-1,-1
exp2_n20,W,9,1,1
exp2_n20,W,10,1,1
exp2_n20,W,11,-1,-1
exp2_n20,W,12,1,1
exp2_n20,W,13,1,-1
exp2_n20,W,14,1,1
exp2_n20,W,15,-1,1
exp2_n20,W,16,-1,-1
exp2_n20,W,17,-1,-1
exp2_n20,W,18,1,1
exp2_n20,W,19,1,1
exp2_n20,W,20,-1,1
exp2_n20,W,21,-1,-1
exp2_n20,W,22,-1,-1
exp2_n20,W,23,-1,-1
exp2_n20,W,24,1,1
exp2_n65,W,0,-1,-1
exp2_n65,W,1,-1,1
exp2_n65,W,2,1,1
exp2_n65,W,3,1,1
exp2_n65,W,4,-1,-1
exp2_n65,W,5,-1,-1
exp2_n65,W,6,1,-1
exp2_n65,W,7,1,1
exp2_n65,W,8,1,1
exp2_n65,W,9,-1,-1
exp2_n65,W,10,1,-1
exp2_n65,W,11,-1,1
exp2_n65,W,12,1,-1
exp2_n65,W,13,-1,1
exp2_n65,W,14,1,-1
exp2_n65,W,15,-1,-1
exp2_n65,W,16,-1,1
exp2_n65,W,17,1,1
exp2_n65,W,18,1,-1
exp2_n65,W,19,-1,-1
exp2_n65,W,20,1,-1
exp2_n65,W,21,1,1
exp2_n65,W,22,-1,1
exp2_n65,W,23,1,1
exp2_n65,W,24,-1,-1
exp3,A,0,-1,1
exp3,A,1,1,-1
exp3,A,2,1,-1
exp3,A,3,1,-1
exp3,A,4,-1,1
exp3,A,5,1,1
exp3,A,6,-1,1
exp3,A,7,-1,-1
exp3,A,8,-1,-1
exp3,A,9,1,1
exp3,A,10,1,1
exp3,A,11,1,-1
exp3,A,12,1,1
exp3,A,13,1,-1
exp3,A,14,1,1
exp3,A,15,1,1
exp3,A,16,-1,-1
exp3,A,17,-1,-1
exp3,A,18,-1,1
exp3,A,19,1,1
exp3,A,20,1,1
exp3,A,21,-1,-1
exp3,A,22,-1,-1
exp3,A,23,-1,-1
exp3,A,24,1,1
exp3,K,0,1,1
exp3,K,1,-1,-1
exp3,K,2,-1,-1
exp3,K,3,-1,-1
exp3,K,4,1,1
exp3,K,5,1,1
exp3,K,6,-1,1
exp3,K,7,-1,-1
exp3,K,8,1,-1
exp3,K,9,-1,1
exp3,K,10,1,1
exp3,K,11,1,-1
exp3,K,12,1,1
exp3,K,13,-1,-1
exp3,K,14,-1,1
exp3,K,15,1,1
exp3,K,16,-1,-1
exp3,K,17,-1,-1
exp3,K,18,1,1
exp3,K,19,-1,1
exp3,K,20,1,1
exp3,K,21,-1,-1
exp3,K,22,-1,-1
exp3,K,23,-1,-1
exp3,K,24,1,1
exp3,G,0,-1,-1
exp3,G,1,1,1
exp3,G,2,1,1
exp3,G,3,1,1
exp3,G,4,1,-1
exp3,G,5,1,-1
exp3,G,6,-1,-1
