K,country,dist_mean,dist_std
3,Austria,1.4373312434229313,0.26407584249482247
3,Belgium,0.9590474757263341,0.27773704210970795
3,Bulgaria,2.1294419253944725,0.23846929765805858
3,Croatia,2.0586454481702647,0.22316133064537313
3,Czech Republic,1.1880097713968893,0.2531478379962349
3,Denmark,0.9121247348955297,0.27553774353440746
3,Estonia,1.8900013785469347,0.17124082308477825
3,Finland,0.9037139428132479,0.17538396550055904
3,Germany,1.2739026168541647,0.19027643964299318
3,Greece,3.2329996404897834,0.5593568205025362
3,Hungary,0.8569577285716552,0.21710009623817325
3,Iceland,2.0725487698441443,0.2586800241117744
3,Ireland,2.0929405975010797,0.3676387781021843
3,Italy,1.1637571076540594,0.1815737712745617
3,Latvia,1.920380778496639,0.20502714605249897
3,Lithuania,1.6091492185795946,0.23091674746697505
3,Luxembourg,3.4387210890719357,0.5030404041337134
3,Netherlands,1.3860349034259116,0.3044041917511879
3,Norway,2.085669041533304,0.327190470391612
3,Poland,1.2811240110971092,0.12916268874698858
3,Portugal,1.0855501138022308,0.2595537001467746
3,Slovakia,1.1256151064516848,0.17661501213982406
3,Slovenia,1.2654905549297022,0.23949614647045753
3,Spain,2.956652055530048,0.6225001488725901
3,Sweden,1.5377738188221495,0.17542609759849506
3,Switzerland,2.846763153065347,0.290391096707536
3,Ukraine,4.451255860635933,0.7998219176800851
3,United Kingdom,1.696022526847413,0.29788192283150505
5,Austria,1.2602062119541033,0.15408101588888254
5,Belgium,0.7259457410753241,0.07659224512456266
5,Bulgaria,2.0772232350299253,0.23239720385502394
5,Croatia,1.7390506932889696,0.23874881940061626
5,Czech Republic,1.0161787493686452,0.163366389537001
5,Denmark,0.7236475681286147,0.09864012448638987
5,Estonia,1.8478069866105762,0.16821871478006484
5,Finland,0.7707741884827852,0.06780973782538639
5,Germany,1.1671531222448432,0.10370158611217335
5,Greece,2.728114107217418,0.5540483741473099
5,Hungary,0.818883579683807,0.1639438206320843
5,Iceland,1.7132526965906874,0.27539788043443086
5,Ireland,1.7856564047715717,0.3066256418965056
5,Italy,0.9738168670826163,0.1515661100673466
5,Latvia,1.8632116659662095,0.19676406051044032
5,Lithuania,1.4459248283053168,0.16180596051724874
5,Luxembourg,2.925246371296999,0.5234036430106681
5,Netherlands,1.1562051856138122,0.22879265069389082
5,Norway,1.8420508043567558,0.25603877409528963
5,Poland,1.2230427491601492,0.11433154417304658
5,Portugal,0.8349361375978548,0.14069907499445913
5,Slovakia,0.8784075826545552,0.09699267834208071
5,Slovenia,1.0214749226182787,0.11469539500922041
5,Spain,2.575066164671465,0.6133641644239177
5,Sweden,1.3472617946158463,0.08899126904229296
5,Switzerland,2.49640520845432,0.3855411793242514
5,Ukraine,3.9026014746786344,0.8983526285182786
5,United Kingdom,1.452491844982156,0.2605540452570953
