K,qe_mean,qe_std,dead_n_mean,dead_frac_mean,dead_frac_std,n_seeds,total_neuronas
3,1.8163437361989463,0.024313864785044183,0.6,0.06666666666666667,0.07768954430890011,10,9
5,1.5825727459465084,0.0568758023121297,7.9,0.316,0.051467357508316755,10,25
