K,seed,country,i,j,dist
3,5,Denmark,2,0,0.6858789678943206
3,5,Estonia,1,2,1.8742598041691128
3,5,Finland,2,1,0.9326048088170844
3,5,Germany,2,1,1.18357065765631
3,5,Greece,2,2,3.5454182404068164
3,5,Hungary,1,2,0.7628974520537909
3,5,Iceland,0,2,2.236473084678856
3,5,Ireland,2,0,2.526669713195598
3,5,Italy,1,1,1.0645867190952472
3,5,Latvia,1,2,1.7055617260456093
3,5,Lithuania,1,2,1.3678838844236025
3,5,Luxembourg,2,0,3.824470392752965
3,5,Netherlands,2,0,1.2276212215327162
3,5,Norway,0,0,1.732215018158294
3,5,Poland,1,2,1.4666190118501883
3,5,Portugal,2,2,1.2753597677352972
3,5,Slovakia,1,2,0.9885453387448672
3,5,Slovenia,1,0,1.024358963622635
3,5,Spain,1,1,3.488282135841281
3,5,Sweden,0,0,1.6122061735472766
3,5,Switzerland,2,0,2.8942717899510515
3,5,Ukraine,1,2,5.18097009379421
3,5,United Kingdom,2,2,1.3228858700887443
3,6,Austria,2,0,1.8610151618304716
3,6,Belgium,2,1,1.4343326014376683
3,6,Bulgaria,0,2,2.3648168677930146
3,6,Croatia,1,0,2.078228196057088
3,6,Czech Republic,2,1,1.5046006189518784
3,6,Denmark,2,0,1.3726648942563653
3,6,Estonia,0,2,1.8776143552573792
3,6,Finland,2,0,1.1067886471775272
3,6,Germany,2,0,1.3467682255412192
3,6,Greece,1,0,2.4140601902708436
3,6,Hungary,0,2,0.7520465065448101
3,6,Iceland,2,2,2.1383295400454654
3,6,Ireland,2,2,1.568506477711886
3,6,Italy,2,0,1.2677876058658508
3,6,Latvia,0,2,1.7246515641839453
3,6,Lithuania,0,2,1.3396088971897528
3,6,Luxembourg,2,2,3.6925085412530625
3,6,Netherlands,2,0,1.4567721044433128
3,6,Norway,2,0,1.6273330338689136
3,6,Poland,1,1,1.1458783550493332
3,6,Portugal,1,0,0.8447698900269951
3,6,Slovakia,0,1,0.8754026223491126
3,6,Slovenia,2,1,1.5897897283952795
3,6,Spain,0,0,3.2703792267567233
3,6,Sweden,2,0,1.5612673432991662
3,6,Switzerland,2,0,2.8345607591295168
3,6,Ukraine,1,1,3.7605754898517674
3,6,United Kingdom,1,0,1.7097962010675265
3,7,Austria,2,2,1.479253211218606
3,7,Belgium,2,2,0.7873686035411755
3,7,Bulgaria,2,1,2.194807197634937
3,7,Croatia,2,1,2.245356526783408
3,7,Czech Republic,2,2,1.4140143754871004
3,7,Denmark,0,1,0.7929416940693206
3,7,Estonia,2,1,1.8792268074515899
3,7,Finland,0,2,1.2443667835472036
