country,i,j,dist
Austria,14,4,1.3247521789794086
Belgium,14,4,0.9515393733972003
Bulgaria,2,14,1.8066478915633528
Croatia,0,10,1.6973416666638743
Czech Republic,14,11,1.407868100945262
Denmark,14,3,0.8071698973993537
Estonia,2,14,1.646835757856638
Finland,7,2,1.228117322023824
Germany,12,0,1.612813883755684
Greece,0,10,2.791971971828763
Hungary,7,14,0.847720984137599
Iceland,14,4,2.0832653876902394
Ireland,14,0,2.299267130356152
Italy,8,0,1.2901766333916975
Latvia,7,14,2.062518306844973
Lithuania,7,14,1.698298138291442
Luxembourg,14,0,3.499340469976883
Netherlands,14,0,1.1587126561454872
Norway,14,0,2.100792338389804
Poland,2,10,0.820713945539788
Portugal,0,11,0.9444231403296804
Slovakia,10,14,1.3010917406789813
Slovenia,0,0,1.6161198011674205
Spain,0,0,3.467585012275016
Sweden,12,0,1.8479133749190553
Switzerland,14,0,2.613107705506381
Ukraine,2,14,4.6742122410686475
United Kingdom,6,2,1.945441772014131
