Country,pc1_oja,pc1_pca_lib,diff
Austria,1.0747865400132155,1.0817476612095884,-0.0069611211963729325
Belgium,0.6825456204662108,0.681094068633839,0.001451551832371778
Bulgaria,-2.6028597755115106,-2.60987881642048,0.00701904090896921
Croatia,-1.2477219058687385,-1.2701488485858357,0.02242694271709711
Czech Republic,0.17462926021918257,0.16720949379050887,0.007419766428673702
Denmark,0.9578980773708359,0.9551907971097169,0.002707280261118994
Estonia,-2.485143396695568,-2.4877352181041097,0.002591821408541861
Finland,0.2050843035139592,0.21056315636343742,-0.005478852849478216
Germany,0.5861556996281799,0.5923936529244792,-0.006237953296299281
Greece,-0.9712350585105108,-1.0004719569396439,0.029236898429133018
Hungary,-1.3946396008511952,-1.3968983127833734,0.0022587119321781923
Iceland,1.56840610724473,1.5837197024631102,-0.015313595218380271
Ireland,1.8126041850474741,1.808917610939198,0.0036865741082761083
Italy,0.8508391570573351,0.8532239623948349,-0.0023848053374997402
Latvia,-2.308118145214423,-2.3060594085931685,-0.0020587366212545533
Lithuania,-1.5300278871302917,-1.53009990995271,7.202282241824953e-05
Luxembourg,3.472094272103534,3.4784349567046364,-0.006340684601102264
Netherlands,1.846491654492985,1.8400534050753592,0.00643824941762583
Norway,2.106552293483082,2.106510833605666,4.1459877416105684e-05
Poland,-1.4782792982558346,-1.471773827629117,-0.00650547062671758
Portugal,-0.5171730169722925,-0.5264933349515403,0.009320317979247816
Slovakia,-0.7826332916229957,-0.7829659710814737,0.0003326794584780357
Slovenia,-0.0501575954534787,-0.06754337538258576,0.01738577992910706
Spain,0.15582391535523055,0.16376695684389564,-0.007943041488665092
Sweden,0.8724891598123323,0.8851053096517569,-0.012616149839424606
Switzerland,3.2916038967885077,3.281586128815988,0.010017767972519742
Ukraine,-4.627730051659673,-4.580268066769383,-0.04746198489028952
United Kingdom,0.33771488114964476,0.34081935066733493,-0.003104469517690167
