epoch,eta,w_norm,delta_w_norm
0,0.001,1.7772664851900446,0.1113306584974279
1,0.001,1.6887487902305642,0.09216752354602316
2,0.001,1.61474695708639,0.07829349204879749
3,0.001,1.5517848145342314,0.06797221887337397
4,0.001,1.4974458079150816,0.060147392005307984
5,0.001,1.4499917559874733,0.054141724737123614
6,0.001,1.408137131619813,0.049501081828722225
7,0.001,1.370909041784218,0.04590859646156192
8,0.001,1.3375569290548264,0.043134984480357956
9,0.001,1.3074923874250854,0.04100869199778908
10,0.001,1.2802478908498673,0.03939742688421775
11,0.001,1.2554477716582793,0.03819645463299194
12,0.001,1.2327873447133308,0.037321008356611056
13,0.001,1.2120175708521643,0.03670123975819069
14,0.001,1.1929335594382582,0.03627876194837763
15,0.001,1.1753657751985591,0.03600421125083366
16,0.001,1.159173177386158,0.035835484727962955
17,0.001,1.1442377587567572,0.035736447940880205
18,0.001,1.1304601142066701,0.03567598702794479
19,0.001,1.1177557818874992,0.0356273227849796
20,0.001,1.1060521799381682,0.03556752695546612
21,0.001,1.0952860198195105,0.03547719205237792
22,0.001,1.0854011187508048,0.03534021170702374
23,0.001,1.0763465626812447,0.035143632287555654
24,0.001,1.0680751899880747,0.03487754030135848
25,0.001,1.0605423764491024,0.03453495485428788
26,0.001,1.0537051055874689,0.034111700492853045
27,0.001,1.0475213068989895,0.033606242945228626
28,0.001,1.0419494395489133,0.033019478115966186
29,0.001,1.0369482927163851,0.03235447249098896
30,0.001,1.0324769675948289,0.031616160130726635
31,0.001,1.028495001521306,0.030811007012482995
32,0.001,1.0249625927178743,0.02994665717476005
33,0.001,1.0218408850356564,0.0290315767369806
34,0.001,1.01909227572376,0.02807471152353383
35,0.001,1.0166807150194774,0.02708517205573167
36,0.001,1.0145719734566898,0.02607195658717042
37,0.001,1.0127338603430316,0.02504371919862586
38,0.001,1.0111363840834515,0.02400858625144819
39,0.001,1.0097518513398462,0.02297402113299814
40,0.001,1.0085549070567605,0.02194673448600186
41,0.001,1.0075225210183512,0.02093263512743884
42,0.001,1.0066339288803177,0.01993681564293023
43,0.001,1.0058705367157956,0.01896356611262553
44,0.001,1.0052157982671925,0.01801640945503004
45,0.001,1.0046550735664366,0.017098152316011042
46,0.001,1.004175476617828,0.016210946134968693
47,0.001,1.0037657186372324,0.015356353861442108
48,0.001,1.003415952069162,0.014535418672701746
49,0.001,1.0031176193733378,0.013748731883945398
50,0.001,1.0028633094572115,0.012996498001450819
51,0.001,1.002646623669724,0.012278595520866598
52,0.001,1.0024620524782553,0.011594632609469968
53,0.001,1.002304863321993,0.010943997235738056
54,0.001,1.002170999656782,0.010325901632029705
55,0.001,1.0020569908592338,0.009739421210306246
56,0.001,1.0019598724197967,0.009183528211601491
57,0.001,1.00187711570419,0.008657120472039464
58,0.001,1.0018065664806233,0.008159045744888732
59,0.001,1.0017463913795281,0.007688122040954223
60,0.001,1.0016950314588686,0.007243154448131292
61,0.001,1.0016511620800388,0.006822948872846572
62,0.001,1.0016136583477966,0.006426323117413739
63,0.001,1.0015815654257776,0.006052115672552049
64,0.001,1.0015540731017696,0.0056991925667640685
65,0.001,1.0015304940404175,0.0053664525763448935
66,0.001,1.0015102452229232,0.005052831063013657
67,0.001,1.0014928321318621,0.004757302671620542
68,0.001,1.0014778352936011,0.0044788830885847284
69,0.001,1.0014648988403412,0.004216630033025614
70,0.001,1.001453720798465,0.003969643626940677
71,0.001,1.0014440448496595,0.0037370662682425556
72,0.001,1.0014356533464406,0.0035180821107760915
73,0.001,1.0014283613945847,0.0033119162383850056
74,0.001,1.0014220118418768,0.003117833605442729
75,0.001,1.001416471035956,0.0029351378037255353
76,0.001,1.0014116252342422,0.0027631697048499525
77,0.001,1.0014073775663082,0.002601306018489472
78,0.001,1.0014036454639943,0.0024489577989882474
79,0.001,1.0014003584873532,0.002305568926630081
80,0.001,1.001397456485416,0.002170614584503582
81,0.001,1.0013948880400942,0.002043599747482554
82,0.001,1.0013926091494432,0.0019240576961843288
83,0.001,1.0013905821132516,0.0018115485657398075
84,0.001,1.0013887745896306,0.001705657936739785
85,0.001,1.0013871587961236,0.0016059954736817145
86,0.001,1.0013857108329547,0.0015121936146086886
87,0.001,1.0013844101095195,0.0014239063142852725
88,0.001,1.0013832388581365,0.0013408078421976914
89,0.001,1.0013821817215884,0.0012625916358081398
90,0.001,1.001381225403052,0.0011889692088260229
91,0.001,1.0013803583688112,0.0011196691137335753
92,0.001,1.0013795705956194,0.0010544359574078809
93,0.001,1.0013788533558696,0.000993029468372859
94,0.001,1.0013781990347626,0.0009352236140041547
95,0.001,1.0013776009745936,0.0008808057658499539
96,0.001,1.0013770533420159,0.0008295759111302439
97,0.001,1.0013765510147878,0.0007813459084262039
98,0.001,1.0013760894850525,0.0007359387855362197
99,0.001,1.0013756647766516,0.000693188077488013
