Country,pc1_oja,pc1_pca_lib,diff
Austria,1.0556640662823171,1.0622551157859386,-0.006591049503621438
Belgium,0.670194470455675,0.66882109819286,0.0013733722628150868
Bulgaria,-2.5562064441443026,-2.5628501209089847,0.006643676764682027
Croatia,-1.2260309420375768,-1.247261409108341,0.021230467070764147
Czech Republic,0.17121911132484902,0.1641964633307692,0.0070226479940798114
Denmark,0.9405419572394536,0.9379787423315316,0.0025632149079219957
Estonia,-2.440456597144636,-2.4429074884220467,0.002450891277410605
Finland,0.2015843340882078,0.2067689148437728,-0.005184580755564994
Germany,0.5758147274839284,0.5817190190866761,-0.0059042916027477466
Greece,-0.954761446450198,-0.9824439585763961,0.0276825121261981
Hungary,-1.369590304880806,-1.3717269121041218,0.0021366072233157674
Iceland,1.540681849381307,1.5551818748850295,-0.014500025503722425
Ireland,1.7798119893766882,1.7763218310144742,0.003490158362214002
Italy,0.8355929091665857,0.8378492983766748,-0.0022563892100890826
Latvia,-2.26645921139612,-2.264505385059275,-0.0019538263368450437
Lithuania,-1.5024653039289053,-1.5025282839007292,6.297997182391768e-05
Luxembourg,3.4097578369968717,3.415755319088448,-0.005997482091576245
Netherlands,1.8129936895164822,1.8068965738969431,0.006097115619539073
Norway,2.0685975278959803,2.0685525744091033,4.4953486876941895e-05
Poland,-1.4514125515201879,-1.445253208063996,-0.006159343456191957
Portugal,-0.5081827914098445,-0.5170061914939651,0.008823400084120636
Slovakia,-0.7685455196132338,-0.7688573205118832,0.00031180089864935034
Slovenia,-0.04986830957175359,-0.06632627793932466,0.016457968367571074
Spain,0.1532953817266285,0.1608159591577959,-0.007520577431167408
Sweden,0.8572145582056592,0.8691561598899641,-0.011941601684304914
Switzerland,3.2319403883142352,3.2224536074606487,0.009486780853586563
Ukraine,-4.5426683376424855,-4.497733954105657,-0.04493438353682855
United Kingdom,0.3317429622851108,0.3346779584440196,-0.002934996158908798
