K,qe_mean,qe_std,dead_n_mean,dead_frac_mean,dead_frac_std,n_seeds,total_neuronas
2,2.322697345224899,0.005265650837106636,1.2,0.3,0.19720265943665388,10,4
3,2.1029658308445627,0.013379187555009766,3.2,0.3555555555555555,0.10210406483029795,10,9
4,1.9865179281723822,0.05373814998941422,8.0,0.5,0.07216878364870322,10,16
