K,qe_mean,qe_std,dead_n_mean,dead_frac_mean,dead_frac_std,n_seeds,total_neuronas
5,1.9390954680627388,0.02699193942965522,14.8,0.592,0.033466401061362984,5,25
8,1.900138130587521,0.04800230752903425,50.6,0.790625,0.008558164961018225,5,64
15,1.8349094271243487,0.020756024404758548,207.6,0.9226666666666666,0.007436978013636215,5,225
20,1.8615871970500126,0.0864802747216057,381.4,0.9535,0.004873397172404454,5,400
