source,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
oja,,,,,,,
pca_eigvec,0.12487390183337639,-0.5005058583604998,0.40651815481189013,-0.4828733253002006,0.18811161613179764,-0.475703553912758,0.27165582007504624
diff,,,,,,,
