eta_inicial,grilla,country,dist_mean,dist_std
0.1,hexagonal,Austria,1.442875158361786,0.26067486200154155
0.1,hexagonal,Belgium,0.9625938540506811,0.27701236856638584
0.1,hexagonal,Bulgaria,2.139060515743568,0.23113918923318863
0.1,hexagonal,Croatia,2.0685554939471387,0.21983034982587693
0.1,hexagonal,Czech Republic,1.1838955781673828,0.25023173705948437
0.1,hexagonal,Denmark,0.9108739728574727,0.26941295721748365
0.1,hexagonal,Estonia,1.902430228249877,0.16282893262554457
0.1,hexagonal,Finland,0.9008253355995806,0.17179957136566812
0.1,hexagonal,Germany,1.2777633874166514,0.18954614470239278
0.1,hexagonal,Greece,3.245904685331946,0.5485529044285202
0.1,hexagonal,Hungary,0.8679876166563917,0.20994335182402127
0.1,hexagonal,Iceland,2.080911899943591,0.25784882427641964
0.1,hexagonal,Ireland,2.099614564265827,0.3597201104050458
0.1,hexagonal,Italy,1.1707641171817598,0.18106723109121078
0.1,hexagonal,Latvia,1.9340347603946637,0.2005299778658778
0.1,hexagonal,Lithuania,1.6193663176022348,0.22850415545360747
0.1,hexagonal,Luxembourg,3.4473727338607523,0.5057607244285217
0.1,hexagonal,Netherlands,1.3927791115678478,0.3000940830314009
0.1,hexagonal,Norway,2.1016130592815205,0.33227726282813885
0.1,hexagonal,Poland,1.2780813611797046,0.12595273376859598
0.1,hexagonal,Portugal,1.0827558143389981,0.2597090845263533
0.1,hexagonal,Slovakia,1.1278913510158213,0.17165413809497307
0.1,hexagonal,Slovenia,1.2590897321399908,0.24101340705937532
0.1,hexagonal,Spain,2.962022758858308,0.6246008586910565
0.1,hexagonal,Sweden,1.5428172027677722,0.16963565971085967
0.1,hexagonal,Switzerland,2.86372019090908,0.2810524968611013
0.1,hexagonal,Ukraine,4.458267934420163,0.7948308287033267
0.1,hexagonal,United Kingdom,1.6977139549003433,0.29187475158572984
0.1,rectangular,Austria,1.4373312434229313,0.26407584249482247
0.1,rectangular,Belgium,0.9590474757263341,0.27773704210970795
0.1,rectangular,Bulgaria,2.1294419253944725,0.23846929765805858
0.1,rectangular,Croatia,2.0586454481702647,0.22316133064537313
0.1,rectangular,Czech Republic,1.1880097713968893,0.2531478379962349
0.1,rectangular,Denmark,0.9121247348955297,0.27553774353440746
0.1,rectangular,Estonia,1.8900013785469347,0.17124082308477825
0.1,rectangular,Finland,0.9037139428132479,0.17538396550055904
0.1,rectangular,Germany,1.2739026168541647,0.19027643964299318
0.1,rectangular,Greece,3.2329996404897834,0.5593568205025362
0.1,rectangular,Hungary,0.8569577285716552,0.21710009623817325
0.1,rectangular,Iceland,2.0725487698441443,0.2586800241117744
0.1,rectangular,Ireland,2.0929405975010797,0.3676387781021843
0.1,rectangular,Italy,1.1637571076540594,0.1815737712745617
0.1,rectangular,Latvia,1.920380778496639,0.20502714605249897
0.1,rectangular,Lithuania,1.6091492185795946,0.23091674746697505
0.1,rectangular,Luxembourg,3.4387210890719357,0.5030404041337134
0.1,rectangular,Netherlands,1.3860349034259116,0.3044041917511879
0.1,rectangular,Norway,2.085669041533304,0.327190470391612
0.1,rectangular,Poland,1.2811240110971092,0.12916268874698858
0.1,rectangular,Portugal,1.0855501138022308,0.2595537001467746
0.1,rectangular,Slovakia,1.1256151064516848,0.17661501213982406
0.1,rectangular,Slovenia,1.2654905549297022,0.23949614647045753
0.1,rectangular,Spain,2.956652055530048,0.6225001488725901
0.1,rectangular,Sweden,1.5377738188221495,0.17542609759849506
0.1,rectangular,Switzerland,2.846763153065347,0.290391096707536
0.1,rectangular,Ukraine,4.451255860635933,0.7998219176800851
0.1,rectangular,United Kingdom,1.696022526847413,0.29788192283150505
0.3,hexagonal,Austria,1.7336978647714552,0.07241082687173166
0.3,hexagonal,Belgium,1.1346128041412733,0.06982618297371103
0.3,hexagonal,Bulgaria,2.7583895711127617,0.0735815127659822
0.3,hexagonal,Croatia,2.3870539477337362,0.06798635398433424
0.3,hexagonal,Czech Republic,1.4228593000161713,0.045180088082656326
0.3,hexagonal,Denmark,1.137222957517651,0.08437549690864812
0.3,hexagonal,Estonia,2.522819671891633,0.08180812806570434
