eta_inicial,grilla,seed,country,i,j,dist
0.1,rectangular,3,Switzerland,2,1,2.955925433888717
0.1,rectangular,3,Ukraine,0,1,5.163453273252542
0.1,rectangular,3,United Kingdom,2,0,1.9011999535624464
0.1,rectangular,4,Austria,0,2,1.882316960849013
0.1,rectangular,4,Belgium,2,2,1.4619733316488626
0.1,rectangular,4,Bulgaria,2,1,1.9192869227571019
0.1,rectangular,4,Croatia,0,0,2.2022251107867703
0.1,rectangular,4,Czech Republic,1,0,1.535643090341048
0.1,rectangular,4,Denmark,2,2,1.3478065252917588
0.1,rectangular,4,Estonia,1,0,1.8873114486066747
0.1,rectangular,4,Finland,0,2,0.7045944880182177
0.1,rectangular,4,Germany,0,2,1.1764515646933364
0.1,rectangular,4,Greece,0,0,3.397466534314683
0.1,rectangular,4,Hungary,1,0,0.7350951645743781
0.1,rectangular,4,Iceland,2,2,2.1234548999456213
0.1,rectangular,4,Ireland,2,2,1.6285466362780519
0.1,rectangular,4,Italy,0,2,1.0672752672110448
0.1,rectangular,4,Latvia,1,0,1.7548181440292125
0.1,rectangular,4,Lithuania,1,0,1.4471522298607153
0.1,rectangular,4,Luxembourg,2,2,3.6817790420886816
0.1,rectangular,4,Netherlands,2,2,1.8157727637210763
0.1,rectangular,4,Norway,0,2,2.2560689768323727
0.1,rectangular,4,Poland,1,1,1.2091977108837861
0.1,rectangular,4,Portugal,0,0,0.8098919604946495
0.1,rectangular,4,Slovakia,1,0,1.0270161944668994
0.1,rectangular,4,Slovenia,0,0,1.6010131512696617
0.1,rectangular,4,Spain,2,2,3.397835931914705
0.1,rectangular,4,Sweden,0,2,1.3026656765091909
0.1,rectangular,4,Switzerland,2,2,3.0446930959479674
0.1,rectangular,4,Ukraine,0,1,3.647808305876479
0.1,rectangular,4,United Kingdom,2,0,1.2563485600815885
0.1,rectangular,5,Austria,0,2,1.1793743347598953
0.1,rectangular,5,Belgium,0,2,0.7251252120750976
0.1,rectangular,5,Bulgaria,1,2,2.328991638528588
0.1,rectangular,5,Croatia,0,1,2.20584746567985
0.1,rectangular,5,Czech Republic,1,0,1.0503489035602716
0.1,rectangular,5,Denmark,2,0,0.6858789678943206
0.1,rectangular,5,Estonia,1,2,1.8742598041691128
0.1,rectangular,5,Finland,2,1,0.9326048088170844
0.1,rectangular,5,Germany,2,1,1.18357065765631
0.1,rectangular,5,Greece,2,2,3.5454182404068164
0.1,rectangular,5,Hungary,1,2,0.7628974520537909
0.1,rectangular,5,Iceland,0,2,2.236473084678856
0.1,rectangular,5,Ireland,2,0,2.526669713195598
0.1,rectangular,5,Italy,1,1,1.0645867190952472
0.1,rectangular,5,Latvia,1,2,1.7055617260456093
0.1,rectangular,5,Lithuania,1,2,1.3678838844236025
0.1,rectangular,5,Luxembourg,2,0,3.824470392752965
0.1,rectangular,5,Netherlands,2,0,1.2276212215327162
0.1,rectangular,5,Norway,0,0,1.732215018158294
0.1,rectangular,5,Poland,1,2,1.4666190118501883
0.1,rectangular,5,Portugal,2,2,1.2753597677352972
0.1,rectangular,5,Slovakia,1,2,0.9885453387448672
0.1,rectangular,5,Slovenia,1,0,1.024358963622635
0.1,rectangular,5,Spain,1,1,3.488282135841281
0.1,rectangular,5,Sweden,0,0,1.6122061735472766
0.1,rectangular,5,Switzerland,2,0,2.8942717899510515
0.1,rectangular,5,Ukraine,1,2,5.18097009379421
0.1,rectangular,5,United Kingdom,2,2,1.3228858700887443
0.1,rectangular,6,Austria,2,0,1.8610151618304716
0.1,rectangular,6,Belgium,2,1,1.4343326014376683
0.1,rectangular,6,Bulgaria,0,2,2.3648168677930146
0.1,rectangular,6,Croatia,1,0,2.078228196057088
0.1,rectangular,6,Czech Republic,2,1,1.5046006189518784
0.1,rectangular,6,Denmark,2,0,1.3726648942563653
0.1,rectangular,6,Estonia,0,2,1.8776143552573792
0.1,rectangular,6,Finland,2,0,1.1067886471775272
0.1,rectangular,6,Germany,2,0,1.3467682255412192
0.1,rectangular,6,Greece,1,0,2.4140601902708436
0.1,rectangular,6,Hungary,0,2,0.7520465065448101
0.1,rectangular,6,Iceland,2,2,2.1383295400454654
0.1,rectangular,6,Ireland,2,2,1.568506477711886
0.1,rectangular,6,Italy,2,0,1.2677876058658508
0.1,rectangular,6,Latvia,0,2,1.7246515641839453
0.1,rectangular,6,Lithuania,0,2,1.3396088971897528
0.1,rectangular,6,Luxembourg,2,2,3.6925085412530625
0.1,rectangular,6,Netherlands,2,0,1.4567721044433128
0.1,rectangular,6,Norway,2,0,1.6273330338689136
0.1,rectangular,6,Poland,1,1,1.1458783550493332
0.1,rectangular,6,Portugal,1,0,0.8447698900269951
0.1,rectangular,6,Slovakia,0,1,0.8754026223491126
0.1,rectangular,6,Slovenia,2,1,1.5897897283952795
0.1,rectangular,6,Spain,0,0,3.2703792267567233
0.1,rectangular,6,Sweden,2,0,1.5612673432991662
0.1,rectangular,6,Switzerland,2,0,2.8345607591295168
0.1,rectangular,6,Ukraine,1,1,3.7605754898517674
0.1,rectangular,6,United Kingdom,1,0,1.7097962010675265
0.1,rectangular,7,Austria,2,2,1.479253211218606
0.1,rectangular,7,Belgium,2,2,0.7873686035411755
0.1,rectangular,7,Bulgaria,2,1,2.194807197634937
0.1,rectangular,7,Croatia,2,1,2.245356526783408
0.1,rectangular,7,Czech Republic,2,2,1.4140143754871004
0.1,rectangular,7,Denmark,0,1,0.7929416940693206
0.1,rectangular,7,Estonia,2,1,1.8792268074515899
0.1,rectangular,7,Finland,0,2,1.2443667835472036
0.1,rectangular,7,Germany,0,1,1.7296484211089853
0.1,rectangular,7,Greece,0,2,3.7099762914540753
0.1,rectangular,7,Hungary,2,1,0.8517269254549775
0.1,rectangular,7,Iceland,1,1,2.1485565239355817
0.1,rectangular,7,Ireland,1,1,2.1692866715241728
0.1,rectangular,7,Italy,0,1,1.4110936425028113
0.1,rectangular,7,Latvia,2,1,2.0313696847797296
0.1,rectangular,7,Lithuania,2,1,1.7466396594392477
0.1,rectangular,7,Luxembourg,1,1,2.7453275151724665
0.1,rectangular,7,Netherlands,1,0,1.0273075315738236
0.1,rectangular,7,Norway,1,0,2.029244650734809
0.1,rectangular,7,Poland,0,2,1.117161559514908
0.1,rectangular,7,Portugal,0,2,1.3258275062024432
0.1,rectangular,7,Slovakia,1,2,1.1228213824867135
0.1,rectangular,7,Slovenia,1,2,1.550338822371856
0.1,rectangular,7,Spain,2,0,2.2253307565375606
0.1,rectangular,7,Sweden,2,0,1.9058797405518706
0.1,rectangular,7,Switzerland,1,0,2.1814732705368964
0.1,rectangular,7,Ukraine,0,0,3.6399248339823043
0.1,rectangular,7,United Kingdom,0,1,2.0650026231600007
0.1,rectangular,8,Austria,2,2,1.413734513713694
0.1,rectangular,8,Belgium,2,2,0.8634523091299581
0.1,rectangular,8,Bulgaria,0,2,2.0934063635391302
0.1,rectangular,8,Croatia,0,1,1.9857995760385843
0.1,rectangular,8,Czech Republic,1,1,0.9461328348951223
0.1,rectangular,8,Denmark,2,2,0.6594422939737321
0.1,rectangular,8,Estonia,0,2,1.697026266893278
0.1,rectangular,8,Finland,1,2,0.9211048332201794
0.1,rectangular,8,Germany,1,2,1.1510516007197458
0.1,rectangular,8,Greece,0,1,2.4667142291385487
0.1,rectangular,8,Hungary,0,2,0.7241332644259889
0.1,rectangular,8,Iceland,2,0,2.3095887675714817
0.1,rectangular,8,Ireland,2,0,2.4322590428887416
0.1,rectangular,8,Italy,1,0,1.314697551960738
0.1,rectangular,8,Latvia,0,2,1.8643083322546947
0.1,rectangular,8,Lithuania,0,2,1.6327131489490812
0.1,rectangular,8,Luxembourg,2,0,3.668781430995742
0.1,rectangular,8,Netherlands,2,0,1.0625009987911351
0.1,rectangular,8,Norway,2,0,2.2682824855338484
0.1,rectangular,8,Poland,0,2,1.3533204154226413
0.1,rectangular,8,Portugal,0,1,0.7740831042323906
0.1,rectangular,8,Slovakia,0,2,1.27004818978515
0.1,rectangular,8,Slovenia,2,1,1.0754924834485486
0.1,rectangular,8,Spain,0,0,3.6167025903280763
0.1,rectangular,8,Sweden,1,2,1.5980545895565177
0.1,rectangular,8,Switzerland,2,0,2.715712243664863
0.1,rectangular,8,Ukraine,0,2,5.1454606255395205
0.1,rectangular,8,United Kingdom,1,0,1.2887102264799222
0.1,rectangular,9,Austria,0,0,1.3692658106441546
0.1,rectangular,9,Belgium,2,2,0.9634582295831297
0.1,rectangular,9,Bulgaria,0,2,2.525295453924778
0.1,rectangular,9,Croatia,1,1,1.6956495614613363
0.1,rectangular,9,Czech Republic,2,1,1.3824699130580391
0.1,rectangular,9,Denmark,2,2,0.6821932106524229
0.1,rectangular,9,Estonia,0,2,2.3055226051153097
0.1,rectangular,9,Finland,0,1,0.7917334702739818
0.1,rectangular,9,Germany,1,0,1.1375437230232186
0.1,rectangular,9,Greece,1,1,3.3611677085629554
0.1,rectangular,9,Hungary,2,1,1.4449755597358134
0.1,rectangular,9,Iceland,0,0,1.5743181436853915
0.1,rectangular,9,Ireland,1,2,2.096420254534903
0.1,rectangular,9,Italy,0,1,0.9914726129213906
