caso,letra,pixel,input,output
exp2_n20,R,17,-1,-1
exp2_n20,R,18,1,1
exp2_n20,R,19,-1,-1
exp2_n20,R,20,1,1
exp2_n20,R,21,-1,-1
exp2_n20,R,22,-1,-1
exp2_n20,R,23,-1,-1
exp2_n20,R,24,1,1
exp2_n65,R,0,-1,-1
exp2_n65,R,1,-1,-1
exp2_n65,R,2,-1,-1
exp2_n65,R,3,-1,-1
exp2_n65,R,4,1,-1
exp2_n65,R,5,-1,1
exp2_n65,R,6,1,1
exp2_n65,R,7,-1,-1
exp2_n65,R,8,-1,1
exp2_n65,R,9,1,1
exp2_n65,R,10,1,1
exp2_n65,R,11,-1,1
exp2_n65,R,12,1,-1
exp2_n65,R,13,1,1
exp2_n65,R,14,1,1
exp2_n65,R,15,-1,1
exp2_n65,R,16,1,1
exp2_n65,R,17,1,-1
exp2_n65,R,18,-1,1
exp2_n65,R,19,1,1
exp2_n65,R,20,1,1
exp2_n65,R,21,1,1
exp2_n65,R,22,-1,-1
exp2_n65,R,23,1,1
exp2_n65,R,24,-1,1
exp2_n10,T,0,1,1
exp2_n10,T,1,1,1
exp2_n10,T,2,1,1
exp2_n10,T,3,1,1
exp2_n10,T,4,1,1
exp2_n10,T,5,-1,-1
exp2_n10,T,6,-1,-1
exp2_n10,T,7,1,1
exp2_n10,T,8,-1,-1
exp2_n10,T,9,-1,-1
exp2_n10,T,10,-1,-1
exp2_n10,T,11,-1,-1
exp2_n10,T,12,1,1
exp2_n10,T,13,-1,-1
exp2_n10,T,14,-1,-1
exp2_n10,T,15,-1,-1
exp2_n10,T,16,-1,-1
exp2_n10,T,17,1,1
exp2_n10,T,18,-1,-1
exp2_n10,T,19,-1,-1
exp2_n10,T,20,-1,-1
exp2_n10,T,21,-1,-1
exp2_n10,T,22,1,1
exp2_n10,T,23,-1,-1
exp2_n10,T,24,-1,-1
exp2_n20,T,0,1,1
exp2_n20,T,1,-1,1
exp2_n20,T,2,1,1
exp2_n20,T,3,1,1
exp2_n20,T,4,1,1
exp2_n20,T,5,-1,-1
exp2_n20,T,6,-1,-1
exp2_n20,T,7,1,1
exp2_n20,T,8,-1,-1
exp2_n20,T,9,1,-1
exp2_n20,T,10,-1,-1
exp2_n20,T,11,-1,-1
exp2_n20,T,12,1,1
exp2_n20,T,13,-1,-1
exp2_n20,T,14,-1,-1
exp2_n20,T,15,-1,-1
exp2_n20,T,16,-1,-1
exp2_n20,T,17,1,1
exp2_n20,T,18,-1,-1
exp2_n20,T,19,1,-1
exp2_n20,T,20,-1,-1
exp2_n20,T,21,-1,-1
exp2_n20,T,22,1,1
exp2_n20,T,23,1,-1
exp2_n20,T,24,-1,-1
